xx yy kga030.w01	xx yy kga030.w02	xx yy kga030.w03	xx yy kga030.w04	xx yy kga030.w05	xx yy kga030.w06	xx yy kga030.w07	xx yy kga030.w08	xx yy kga030.w09
26 36 +2.370e-05	36 37 +2.852e-05	26 35 +6.100e-05	35 35 +3.482e-05	36 36 +4.320e-05	29 35 +4.022e-05	28 37 +1.100e-18	31 37 +1.100e-18	35 35 +1.100e-18
26 37 +1.810e-05	35 37 +3.086e-05	27 35 +1.992e-05	36 35 +1.100e-18	35 36 +3.578e-05	28 35 +1.100e-18	27 37 +3.440e-05	30 37 +1.716e-05	36 35 +1.100e-18
27 37 +1.100e-18	34 37 +5.700e-05	28 35 +1.622e-05	37 35 +1.100e-18	34 36 +4.820e-05	27 35 +1.100e-18	28 38 +3.336e-05	27 37 +1.234e-05	35 36 +2.510e-05
28 37 +1.182e-05	30 37 +9.320e-05	29 35 +1.680e-05	35 36 +3.642e-05	33 36 +1.100e-18	26 35 +1.100e-18	29 38 +1.100e-18	25 37 +3.220e-05	34 36 +5.300e-05
29 37 +1.204e-05	29 37 +1.100e-18	30 35 +1.912e-05	34 36 +1.100e-18	31 36 +1.088e-04	25 36 +1.100e-18	30 38 +1.100e-18	24 37 +2.742e-05	31 36 +6.540e-05
30 37 +1.100e-18	28 37 +3.006e-05	31 35 +1.100e-18	33 36 +7.960e-05	30 36 +1.090e-04	26 36 +6.480e-05	31 38 +1.376e-04	24 38 +2.258e-05	30 36 +1.100e-18
33 37 +2.158e-05	27 37 +1.100e-18	32 35 +2.244e-05	32 36 +9.760e-05	29 36 +1.100e-18	29 36 +4.160e-05	34 38 +3.572e-05	25 38 +2.364e-05	29 36 +5.000e-05
34 37 +2.874e-05	26 37 +7.340e-05	33 35 +2.166e-05	31 36 +1.100e-18	27 36 +1.100e-18	30 36 +1.100e-18	36 38 +1.100e-18	27 38 +1.100e-18	28 36 +1.100e-18
37 37 +4.640e-05	25 38 +1.100e-18	34 35 +1.726e-05	30 36 +6.060e-05	26 36 +1.100e-18	31 36 +1.100e-18	37 38 +1.100e-18	29 38 +1.100e-18	27 36 +3.124e-05
37 38 +4.500e-05	26 38 +8.280e-05	36 35 +1.100e-18	28 36 +1.100e-18	26 37 +6.400e-05	32 36 +1.100e-18	36 39 +4.740e-05	30 38 +1.100e-18	25 36 +1.100e-18
34 38 +1.100e-18	27 38 +1.100e-18	34 36 +1.100e-18	27 36 +1.100e-18	27 37 +2.816e-05	34 36 +1.100e-18	35 39 +3.310e-05	31 38 +1.100e-18	25 37 +1.100e-18
33 38 +1.100e-18	29 38 +7.920e-05	33 36 +2.138e-05	26 36 +1.100e-18	29 37 +8.660e-05	36 36 +3.362e-05	34 39 +3.166e-05	32 38 +1.100e-18	26 37 +5.460e-05
31 38 +1.100e-18	30 38 +1.100e-18	32 36 +2.318e-05	25 37 +1.100e-18	30 37 +9.640e-05	37 36 +1.040e-04	33 39 +3.126e-05	36 38 +1.746e-05	28 37 +3.000e-05
30 38 +1.694e-05	31 38 +1.100e-18	30 36 +1.100e-18	26 37 +1.100e-18	31 37 +1.038e-04	37 37 +1.100e-18	31 39 +4.520e-05	37 38 +1.100e-18	29 37 +1.100e-18
29 38 +1.072e-05	32 38 +8.340e-05	28 36 +1.492e-05	29 37 +1.100e-18	32 37 +1.100e-18	36 37 +1.100e-18	30 39 +4.840e-05	37 39 +3.592e-05	31 37 +1.100e-18
27 38 +1.238e-05	35 38 +2.948e-05	27 36 +1.522e-05	30 37 +1.100e-18	33 37 +6.400e-05	35 37 +1.100e-18	31 40 +3.658e-05	36 39 +1.830e-05	32 37 +1.100e-18
26 38 +1.642e-05	35 39 +1.100e-18	25 36 +5.840e-05	34 37 +1.100e-18	34 37 +4.960e-05	34 37 +3.376e-05	32 40 +1.100e-18	34 39 +1.180e-05	33 37 +1.100e-18
25 39 +3.248e-05	34 39 +1.100e-18	25 37 +1.100e-18	36 37 +1.190e-04	35 37 +1.100e-18	33 37 +6.800e-05	34 40 +1.100e-18	31 39 +1.100e-18	34 37 +5.520e-05
26 39 +2.316e-05	33 39 +5.680e-05	26 37 +1.100e-18	37 37 +1.100e-18	37 38 +9.540e-05	32 37 +7.540e-05	36 40 +1.100e-18	30 39 +1.260e-05	37 38 +1.100e-18
28 39 +1.100e-18	32 39 +6.920e-05	27 37 +1.100e-18	36 38 +1.100e-18	36 38 +1.100e-18	31 37 +6.780e-05	36 41 +8.680e-05	29 39 +1.100e-18	35 38 +2.296e-05
29 39 +1.100e-18	31 39 +8.560e-05	28 37 +1.426e-05	34 38 +1.100e-18	34 38 +5.020e-05	30 37 +5.960e-05	35 41 +5.880e-05	27 39 +1.100e-18	34 38 +1.100e-18
30 39 +1.100e-18	30 39 +8.380e-05	30 37 +1.100e-18	33 38 +6.680e-05	32 38 +8.580e-05	27 37 +1.874e-05	34 41 +1.100e-18	25 39 +1.100e-18	33 38 +5.860e-05
31 39 +1.100e-18	29 39 +4.980e-05	31 37 +1.100e-18	32 38 +6.640e-05	31 38 +1.100e-18	26 37 +1.100e-18	33 41 +1.100e-18	26 40 +9.100e-05	31 38 +5.640e-05
32 39 +1.848e-05	28 39 +1.100e-18	32 37 +2.110e-05	30 38 +6.860e-05	30 38 +9.180e-05	25 37 +1.062e-04	32 41 +3.648e-05	31 40 +1.168e-05	30 38 +1.100e-18
33 39 +1.100e-18	27 39 +5.300e-05	33 37 +1.100e-18	29 38 +3.030e-05	29 38 +7.380e-05	25 38 +1.100e-18	31 41 +3.610e-05	37 41 +2.298e-05	27 38 +5.600e-05
34 39 +1.556e-05	26 40 +1.100e-18	35 37 +1.458e-05	28 38 +2.662e-05	27 38 +3.080e-05	26 38 +3.828e-05	27 41 +1.100e-18	36 41 +2.144e-05	26 38 +1.100e-18
36 40 +1.100e-18	27 40 +8.640e-05	36 37 +1.100e-18	26 39 +1.100e-18	26 38 +5.920e-05	27 38 +1.888e-05	25 41 +1.100e-18	25 41 +1.100e-18	25 38 +1.100e-18
34 40 +1.100e-18	28 40 +4.620e-05	38 37 +1.100e-18	28 39 +1.100e-18	25 38 +1.366e-04	29 38 +1.100e-18	28 42 +1.100e-18	33 42 +1.296e-05	25 39 +1.100e-18
32 40 +1.068e-05	29 40 +1.100e-18	35 38 +1.100e-18	30 39 +1.100e-18	26 39 +1.100e-18	30 38 +4.160e-05	32 42 +6.580e-05	28 43 +1.100e-18	26 39 +6.780e-05
31 40 +1.014e-05	30 40 +3.792e-05	34 38 +2.298e-05	31 39 +1.100e-18	30 39 +6.340e-05	31 38 +4.800e-05	35 42 +8.400e-05	31 30 +1.000e-18	27 39 +1.100e-18
29 40 +1.010e-05	31 40 +4.480e-05	32 38 +1.100e-18	33 39 +1.100e-18	31 39 +6.160e-05	32 38 +4.340e-05	29 43 +1.100e-18	32 30 +1.000e-18	28 39 +1.412e-04
27 40 +1.778e-05	33 40 +1.100e-18	30 38 +1.100e-18	34 39 +1.100e-18	33 39 +1.100e-18	34 38 +2.654e-05	28 43 +1.100e-18	28 31 +1.000e-18	29 39 +1.100e-18
26 40 +3.478e-05	34 40 +2.604e-05	29 38 +1.284e-05	36 39 +1.100e-18	34 39 +1.100e-18	35 38 +2.546e-05	31 30 +1.000e-18	29 31 +1.000e-18	30 39 +1.100e-18
25 40 +1.100e-18	36 40 +1.100e-18	28 38 +1.100e-18	36 40 +1.100e-18	37 39 +1.196e-04	36 38 +3.288e-05	32 30 +1.000e-18	30 31 +1.000e-18	31 39 +1.100e-18
26 41 +1.010e-04	35 41 +1.100e-18	27 38 +1.100e-18	33 40 +1.100e-18	37 40 +1.100e-18	36 39 +3.506e-05	28 31 +1.000e-18	31 31 +1.000e-18	32 39 +1.100e-18
28 41 +1.100e-18	32 41 +3.066e-05	26 38 +1.100e-18	32 40 +2.586e-05	36 40 +6.400e-05	34 39 +2.338e-05	29 31 +1.000e-18	32 31 +1.000e-18	33 39 +1.100e-18
29 41 +1.100e-18	31 41 +1.100e-18	25 38 +1.958e-05	31 40 +1.100e-18	34 40 +1.100e-18	33 39 +1.100e-18	30 31 +1.000e-18	33 31 +1.000e-18	33 40 +2.042e-05
30 41 +1.198e-05	28 41 +1.100e-18	24 38 +1.100e-18	30 40 +1.100e-18	33 40 +1.100e-18	32 39 +1.100e-18	31 31 +1.000e-18	34 31 +1.000e-18	32 40 +2.364e-05
32 41 +1.100e-18	28 42 +1.100e-18	25 39 +1.100e-18	25 41 +1.100e-18	32 40 +1.100e-18	30 39 +3.038e-05	32 31 +1.000e-18	35 31 +1.000e-18	30 40 +2.444e-05
33 41 +1.328e-05	29 42 +1.100e-18	26 39 +1.954e-05	26 41 +1.100e-18	31 40 +3.850e-05	29 39 +1.100e-18	33 31 +1.000e-18	26 32 +1.000e-18	26 40 +1.100e-18
34 41 +1.590e-05	30 42 +7.280e-05	27 39 +1.394e-05	27 41 +9.920e-05	28 40 +3.302e-05	25 39 +1.100e-18	34 31 +1.000e-18	28 32 +1.000e-18	25 40 +1.100e-18
36 41 +4.260e-05	33 42 +5.760e-05	29 39 +1.262e-05	28 41 +1.100e-18	26 40 +1.100e-18	27 40 +3.456e-05	35 31 +1.000e-18	31 32 +1.000e-18	26 41 +1.100e-18
35 42 +3.218e-05	31 30 +1.000e-18	30 39 +1.198e-05	31 41 +1.100e-18	27 41 +1.272e-04	28 40 +1.946e-05	26 32 +1.000e-18	32 32 +1.000e-18	31 41 +2.256e-05
34 42 +2.680e-05	32 30 +1.000e-18	33 39 +1.100e-18	33 41 +1.100e-18	28 41 +6.140e-05	31 40 +2.308e-05	27 32 +1.000e-18	36 32 +1.000e-18	35 41 +1.100e-18
31 42 +2.178e-05	28 31 +1.000e-18	36 39 +1.100e-18	35 41 +4.320e-05	30 41 +3.176e-05	32 40 +2.122e-05	28 32 +1.000e-18	27 33 +1.000e-18	34 42 +4.120e-05
30 42 +2.160e-05	29 31 +1.000e-18	33 40 +1.038e-05	36 41 +1.100e-18	31 41 +3.072e-05	32 41 +1.100e-18	29 32 +1.000e-18	33 33 +1.000e-18	32 42 +1.100e-18
29 42 +1.100e-18	30 31 +1.000e-18	32 40 +1.100e-18	34 42 +1.100e-18	32 41 +3.196e-05	30 41 +1.100e-18	30 32 +1.000e-18	36 33 +1.000e-18	31 30 +1.000e-18
27 42 +1.100e-18	31 31 +1.000e-18	28 40 +1.244e-05	33 42 +3.668e-05	35 42 +8.480e-05	29 41 +2.214e-05	31 32 +1.000e-18	37 33 +1.000e-18	32 30 +1.000e-18
31 43 +3.030e-05	32 31 +1.000e-18	27 40 +1.714e-05	32 42 +3.302e-05	34 42 +1.100e-18	27 41 +1.100e-18	32 32 +1.000e-18	25 34 +1.000e-18	28 31 +1.000e-18
31 30 +1.000e-18	33 31 +1.000e-18	26 40 +2.514e-05	26 42 +1.100e-18	32 42 +5.440e-05	28 42 +8.480e-05	36 32 +1.000e-18	26 34 +1.000e-18	29 31 +1.000e-18
32 30 +1.000e-18	34 31 +1.000e-18	25 40 +4.700e-05	33 43 +6.640e-05	30 42 +1.100e-18	29 42 +4.540e-05	25 33 +1.000e-18	27 34 +1.000e-18	32 31 +1.000e-18
28 31 +1.000e-18	35 31 +1.000e-18	26 41 +4.260e-05	31 30 +1.000e-18	29 42 +1.100e-18	31 42 +2.730e-05	26 33 +1.000e-18	33 34 +1.000e-18	34 31 +1.000e-18
29 31 +1.000e-18	26 32 +1.000e-18	27 41 +2.118e-05	32 30 +1.000e-18	28 42 +1.100e-18	32 42 +2.514e-05	27 33 +1.000e-18	36 34 +1.000e-18	35 31 +1.000e-18
30 31 +1.000e-18	27 32 +1.000e-18	29 41 +1.298e-05	28 31 +1.000e-18	27 42 +1.100e-18	33 42 +3.076e-05	28 33 +1.000e-18	38 34 +1.000e-18	26 32 +1.000e-18
33 31 +1.000e-18	32 32 +1.000e-18	31 41 +1.100e-18	34 31 +1.000e-18	31 30 +1.000e-18	34 42 +4.660e-05	29 33 +1.000e-18	24 35 +1.000e-18	30 32 +1.000e-18
34 31 +1.000e-18	34 32 +1.000e-18	32 41 +1.100e-18	35 31 +1.000e-18	32 30 +1.000e-18	35 42 +1.100e-18	32 33 +1.000e-18	25 35 +1.000e-18	33 32 +1.000e-18
35 31 +1.000e-18	35 32 +1.000e-18	35 41 +1.832e-05	26 32 +1.000e-18	28 31 +1.000e-18	29 43 +1.276e-04	33 33 +1.000e-18	26 35 +1.000e-18	35 32 +1.000e-18
26 32 +1.000e-18	36 32 +1.000e-18	36 41 +1.100e-18	27 32 +1.000e-18	29 31 +1.000e-18	31 30 +1.000e-18	37 33 +1.000e-18	28 35 +1.000e-18	36 32 +1.000e-18
29 32 +1.000e-18	25 33 +1.000e-18	33 42 +1.498e-05	32 32 +1.000e-18	31 31 +1.000e-18	32 30 +1.000e-18	25 34 +1.000e-18	29 35 +1.000e-18	25 33 +1.000e-18
30 32 +1.000e-18	26 33 +1.000e-18	32 42 +1.472e-05	36 32 +1.000e-18	32 31 +1.000e-18	28 31 +1.000e-18	26 34 +1.000e-18	32 35 +1.000e-18	27 33 +1.000e-18
31 32 +1.000e-18	27 33 +1.000e-18	31 42 +1.460e-05	25 33 +1.000e-18	33 31 +1.000e-18	29 31 +1.000e-18	27 34 +1.000e-18	33 35 +1.000e-18	29 33 +1.000e-18
33 32 +1.000e-18	28 33 +1.000e-18	29 42 +1.726e-05	29 33 +1.000e-18	34 31 +1.000e-18	30 31 +1.000e-18	29 34 +1.000e-18	35 35 +1.000e-18	31 33 +1.000e-18
34 32 +1.000e-18	29 33 +1.000e-18	28 42 +2.414e-05	30 33 +1.000e-18	35 31 +1.000e-18	31 31 +1.000e-18	31 34 +1.000e-18	36 35 +1.000e-18	32 33 +1.000e-18
36 32 +1.000e-18	30 33 +1.000e-18	27 42 +4.100e-05	32 33 +1.000e-18	26 32 +1.000e-18	32 31 +1.000e-18	33 34 +1.000e-18	37 35 +1.000e-18	36 33 +1.000e-18
25 33 +1.000e-18	36 33 +1.000e-18	30 43 +2.104e-05	33 33 +1.000e-18	27 32 +1.000e-18	33 31 +1.000e-18	36 34 +1.000e-18	38 35 +1.000e-18	37 33 +1.000e-18
29 33 +1.000e-18	37 33 +1.000e-18	33 43 +1.608e-05	37 33 +1.000e-18	36 32 +1.000e-18	34 31 +1.000e-18	37 34 +1.000e-18	25 36 +1.000e-18	25 34 +1.000e-18
30 33 +1.000e-18	25 34 +1.000e-18	34 43 +1.668e-05	25 34 +1.000e-18	25 33 +1.000e-18	35 31 +1.000e-18	38 34 +1.000e-18	26 36 +1.000e-18	27 34 +1.000e-18
32 33 +1.000e-18	26 34 +1.000e-18	31 30 +1.000e-18	28 34 +1.000e-18	26 33 +1.000e-18	26 32 +1.000e-18	24 35 +1.000e-18	27 36 +1.000e-18	35 34 +1.000e-18
33 33 +1.000e-18	27 34 +1.000e-18	32 30 +1.000e-18	30 34 +1.000e-18	28 33 +1.000e-18	31 32 +1.000e-18	25 35 +1.000e-18	29 36 +1.000e-18	38 34 +1.000e-18
35 33 +1.000e-18	28 34 +1.000e-18	30 31 +1.000e-18	31 34 +1.000e-18	32 33 +1.000e-18	32 32 +1.000e-18	26 35 +1.000e-18	30 36 +1.000e-18	24 35 +1.000e-18
37 33 +1.000e-18	29 34 +1.000e-18	33 31 +1.000e-18	32 34 +1.000e-18	37 33 +1.000e-18	35 32 +1.000e-18	29 35 +1.000e-18	31 36 +1.000e-18	26 35 +1.000e-18
25 34 +1.000e-18	30 34 +1.000e-18	35 31 +1.000e-18	35 34 +1.000e-18	25 34 +1.000e-18	36 32 +1.000e-18	33 35 +1.000e-18	32 36 +1.000e-18	28 35 +1.000e-18
26 34 +1.000e-18	32 34 +1.000e-18	26 32 +1.000e-18	37 34 +1.000e-18	26 34 +1.000e-18	25 33 +1.000e-18	36 35 +1.000e-18	33 36 +1.000e-18	37 35 +1.000e-18
27 34 +1.000e-18	36 34 +1.000e-18	36 32 +1.000e-18	38 34 +1.000e-18	30 34 +1.000e-18	27 33 +1.000e-18	38 35 +1.000e-18	35 36 +1.000e-18	38 35 +1.000e-18
28 34 +1.000e-18	37 34 +1.000e-18	25 33 +1.000e-18	24 35 +1.000e-18	37 34 +1.000e-18	28 33 +1.000e-18	24 36 +1.000e-18	36 36 +1.000e-18	24 36 +1.000e-18
29 34 +1.000e-18	38 34 +1.000e-18	26 33 +1.000e-18	25 35 +1.000e-18	38 34 +1.000e-18	30 33 +1.000e-18	25 36 +1.000e-18	37 36 +1.000e-18	26 36 +1.000e-18
30 34 +1.000e-18	24 35 +1.000e-18	37 33 +1.000e-18	27 35 +1.000e-18	24 35 +1.000e-18	37 33 +1.000e-18	26 36 +1.000e-18	38 36 +1.000e-18	32 36 +1.000e-18
31 34 +1.000e-18	28 35 +1.000e-18	29 34 +1.000e-18	38 35 +1.000e-18	25 35 +1.000e-18	29 34 +1.000e-18	27 36 +1.000e-18	26 37 +1.000e-18	33 36 +1.000e-18
32 34 +1.000e-18	29 35 +1.000e-18	33 34 +1.000e-18	24 36 +1.000e-18	26 35 +1.000e-18	38 34 +1.000e-18	28 36 +1.000e-18	28 37 +1.000e-18	36 36 +1.000e-18
33 34 +1.000e-18	37 35 +1.000e-18	34 34 +1.000e-18	25 36 +1.000e-18	29 35 +1.000e-18	24 35 +1.000e-18	32 36 +1.000e-18	29 37 +1.000e-18	37 36 +1.000e-18
34 34 +1.000e-18	38 35 +1.000e-18	35 34 +1.000e-18	29 36 +1.000e-18	31 35 +1.000e-18	25 35 +1.000e-18	36 36 +1.000e-18	34 37 +1.000e-18	38 36 +1.000e-18
38 34 +1.000e-18	24 36 +1.000e-18	38 34 +1.000e-18	36 36 +1.000e-18	32 35 +1.000e-18	32 35 +1.000e-18	38 36 +1.000e-18	35 37 +1.000e-18	24 37 +1.000e-18
24 35 +1.000e-18	25 36 +1.000e-18	24 35 +1.000e-18	37 36 +1.000e-18	33 35 +1.000e-18	38 35 +1.000e-18	24 37 +1.000e-18	36 37 +1.000e-18	27 37 +1.000e-18
28 35 +1.000e-18	27 36 +1.000e-18	25 35 +1.000e-18	38 36 +1.000e-18	35 35 +1.000e-18	24 36 +1.000e-18	25 37 +1.000e-18	37 37 +1.000e-18	30 37 +1.000e-18
33 35 +1.000e-18	28 36 +1.000e-18	35 35 +1.000e-18	24 37 +1.000e-18	38 35 +1.000e-18	27 36 +1.000e-18	26 37 +1.000e-18	39 37 +1.000e-18	35 37 +1.000e-18
36 35 +1.000e-18	33 36 +1.000e-18	37 35 +1.000e-18	27 37 +1.000e-18	24 36 +1.000e-18	28 36 +1.000e-18	29 37 +1.000e-18	26 38 +1.000e-18	36 37 +1.000e-18
38 35 +1.000e-18	35 36 +1.000e-18	38 35 +1.000e-18	28 37 +1.000e-18	25 36 +1.000e-18	33 36 +1.000e-18	30 37 +1.000e-18	28 38 +1.000e-18	37 37 +1.000e-18
24 36 +1.000e-18	38 36 +1.000e-18	24 36 +1.000e-18	31 37 +1.000e-18	28 36 +1.000e-18	35 36 +1.000e-18	35 37 +1.000e-18	33 38 +1.000e-18	38 37 +1.000e-18
25 36 +1.000e-18	24 37 +1.000e-18	26 36 +1.000e-18	32 37 +1.000e-18	32 36 +1.000e-18	38 36 +1.000e-18	36 37 +1.000e-18	34 38 +1.000e-18	39 37 +1.000e-18
28 36 +1.000e-18	25 37 +1.000e-18	29 36 +1.000e-18	33 37 +1.000e-18	38 36 +1.000e-18	24 37 +1.000e-18	38 37 +1.000e-18	35 38 +1.000e-18	24 38 +1.000e-18
33 36 +1.000e-18	31 37 +1.000e-18	31 36 +1.000e-18	35 37 +1.000e-18	24 37 +1.000e-18	28 37 +1.000e-18	39 37 +1.000e-18	38 38 +1.000e-18	28 38 +1.000e-18
34 36 +1.000e-18	32 37 +1.000e-18	35 36 +1.000e-18	38 37 +1.000e-18	25 37 +1.000e-18	29 37 +1.000e-18	24 38 +1.000e-18	24 39 +1.000e-18	29 38 +1.000e-18
38 36 +1.000e-18	33 37 +1.000e-18	36 36 +1.000e-18	39 37 +1.000e-18	28 37 +1.000e-18	38 37 +1.000e-18	25 38 +1.000e-18	26 39 +1.000e-18	32 38 +1.000e-18
