xx yy kga030.w10	xx yy kga030.w11	xx yy kga030.w12	xx yy kga030.w13	xx yy kga030.w14	xx yy kga030.w15	xx yy kga030.w16	xx yy kga030.w17	xx yy kga030.w18	xx yy kga030.w19
26 33 +1.100e-18	26 33 +1.100e-18	25 33 +1.100e-18	28 32 +1.100e-18	28 32 +1.100e-18	30 33 +4.620e-05	27 32 +1.100e-18	30 32 +9.460e-05	27 33 +1.100e-18	28 32 +1.100e-18
33 33 +1.100e-18	27 33 +1.100e-18	27 33 +1.100e-18	25 33 +1.100e-18	27 32 +1.100e-18	31 33 +1.100e-18	30 33 +1.100e-18	29 32 +1.100e-18	28 33 +1.100e-18	27 32 +1.100e-18
34 33 +1.530e-05	28 33 +1.270e-04	28 33 +1.100e-18	26 33 +1.100e-18	25 33 +1.100e-18	32 33 +3.930e-05	31 33 +1.282e-05	28 32 +1.100e-18	29 33 +4.700e-05	26 33 +1.100e-18
36 33 +8.140e-05	31 33 +2.836e-05	30 33 +1.100e-18	27 33 +1.100e-18	26 33 +1.100e-18	33 33 +3.730e-05	33 33 +1.100e-18	26 32 +1.100e-18	30 33 +2.770e-05	27 33 +1.100e-18
36 34 +1.100e-18	32 33 +2.754e-05	31 33 +2.954e-05	29 33 +1.100e-18	29 33 +6.100e-05	34 33 +1.100e-18	35 33 +1.100e-18	26 33 +1.100e-18	32 33 +2.352e-05	28 33 +1.100e-18
33 34 +1.440e-05	33 33 +2.662e-05	32 33 +2.768e-05	30 33 +1.100e-18	31 33 +3.080e-05	35 33 +1.118e-04	37 34 +1.100e-18	28 33 +1.100e-18	33 33 +1.100e-18	29 33 +5.040e-05
32 34 +1.464e-05	34 33 +1.100e-18	33 33 +2.836e-05	31 33 +2.740e-05	32 33 +2.888e-05	36 33 +1.100e-18	36 34 +1.100e-18	29 33 +6.280e-05	34 33 +1.100e-18	30 33 +3.444e-05
31 34 +1.100e-18	36 34 +8.860e-05	34 33 +3.864e-05	32 33 +1.100e-18	34 33 +3.656e-05	37 34 +1.100e-18	35 34 +1.100e-18	30 33 +3.864e-05	36 33 +1.100e-18	31 33 +2.728e-05
30 34 +1.100e-18	35 34 +1.100e-18	35 33 +8.880e-05	33 33 +1.100e-18	35 33 +7.440e-05	36 34 +1.186e-04	34 34 +1.418e-05	32 33 +3.130e-05	37 34 +1.100e-18	33 33 +1.100e-18
29 34 +1.100e-18	34 34 +2.496e-05	36 33 +1.100e-18	34 33 +3.454e-05	36 33 +1.100e-18	35 34 +4.360e-05	32 34 +1.100e-18	33 33 +1.100e-18	35 34 +3.268e-05	34 33 +1.100e-18
26 34 +1.100e-18	33 34 +2.926e-05	37 34 +1.100e-18	35 33 +7.780e-05	37 34 +1.100e-18	34 34 +3.594e-05	31 34 +1.150e-05	34 33 +3.722e-05	34 34 +2.436e-05	35 33 +1.100e-18
29 35 +1.152e-05	31 34 +1.100e-18	36 34 +1.100e-18	36 33 +1.100e-18	36 34 +1.100e-18	33 34 +4.540e-05	30 34 +1.100e-18	35 33 +1.100e-18	33 34 +2.764e-05	36 33 +1.100e-18
30 35 +1.100e-18	29 34 +2.934e-05	35 34 +1.100e-18	37 34 +1.100e-18	35 34 +1.100e-18	32 34 +5.340e-05	29 34 +1.100e-18	36 33 +1.100e-18	32 34 +3.734e-05	36 34 +1.100e-18
31 35 +1.316e-05	28 34 +3.676e-05	33 34 +1.100e-18	36 34 +8.720e-05	34 34 +2.618e-05	31 34 +1.100e-18	28 34 +1.100e-18	37 34 +1.100e-18	30 34 +1.100e-18	34 34 +2.688e-05
32 35 +1.100e-18	27 34 +1.094e-04	31 34 +4.034e-05	35 34 +3.268e-05	33 34 +2.884e-05	30 34 +4.520e-05	25 35 +1.100e-18	36 34 +1.100e-18	29 34 +3.360e-05	33 34 +1.100e-18
33 35 +1.100e-18	26 34 +1.100e-18	30 34 +3.788e-05	34 34 +3.160e-05	32 34 +3.902e-05	29 34 +4.540e-05	26 35 +4.260e-05	35 34 +1.100e-18	28 34 +4.640e-05	32 34 +1.100e-18
34 35 +1.574e-05	25 34 +1.100e-18	28 34 +5.280e-05	33 34 +3.142e-05	31 34 +1.100e-18	28 34 +5.440e-05	27 35 +1.744e-05	34 34 +2.626e-05	27 34 +1.100e-18	31 34 +3.364e-05
35 35 +1.100e-18	27 35 +3.474e-05	26 34 +1.100e-18	32 34 +1.100e-18	29 34 +3.582e-05	26 35 +1.100e-18	28 35 +1.178e-05	33 34 +2.914e-05	25 34 +1.100e-18	30 34 +1.100e-18
36 35 +1.942e-05	29 35 +3.106e-05	29 35 +1.100e-18	31 34 +3.478e-05	28 34 +4.760e-05	27 35 +1.100e-18	29 35 +1.128e-05	32 34 +4.140e-05	25 35 +1.100e-18	29 34 +3.436e-05
37 35 +7.240e-05	30 35 +4.120e-05	30 35 +6.380e-05	30 34 +1.100e-18	27 34 +1.100e-18	28 35 +4.084e-05	30 35 +1.822e-05	31 34 +1.100e-18	26 35 +1.100e-18	27 34 +1.100e-18
37 36 +4.240e-05	31 35 +4.920e-05	31 35 +1.100e-18	29 34 +1.100e-18	26 34 +1.100e-18	29 35 +4.440e-05	31 35 +1.100e-18	30 34 +3.914e-05	27 35 +1.100e-18	26 34 +1.100e-18
36 36 +1.100e-18	32 35 +5.780e-05	32 35 +1.100e-18	28 34 +4.540e-05	25 34 +1.100e-18	30 35 +5.820e-05	32 35 +2.910e-05	27 34 +1.100e-18	28 35 +3.522e-05	25 34 +1.100e-18
34 36 +1.100e-18	33 35 +5.040e-05	33 35 +6.400e-05	27 34 +1.100e-18	24 35 +1.100e-18	31 35 +1.100e-18	35 35 +1.100e-18	26 34 +1.100e-18	29 35 +1.100e-18	25 35 +1.100e-18
33 36 +1.100e-18	35 35 +1.100e-18	34 35 +4.100e-05	27 35 +1.100e-18	25 35 +1.100e-18	32 35 +1.100e-18	37 35 +9.400e-05	25 34 +1.100e-18	30 35 +5.640e-05	26 35 +1.100e-18
30 36 +1.100e-18	36 35 +4.340e-05	35 35 +1.100e-18	28 35 +3.024e-05	26 35 +1.100e-18	33 35 +1.100e-18	37 36 +1.100e-18	25 35 +1.100e-18	32 35 +1.100e-18	27 35 +4.280e-05
29 36 +1.100e-18	36 36 +1.100e-18	36 35 +5.560e-05	30 35 +5.280e-05	27 35 +4.480e-05	35 35 +3.420e-05	35 36 +1.100e-18	28 35 +2.934e-05	34 35 +3.434e-05	28 35 +1.100e-18
27 36 +1.100e-18	35 36 +1.100e-18	37 35 +1.100e-18	31 35 +5.160e-05	28 35 +2.828e-05	37 35 +1.100e-18	34 36 +1.100e-18	29 35 +4.740e-05	35 35 +2.556e-05	30 35 +5.280e-05
26 36 +2.046e-05	34 36 +6.040e-05	37 36 +1.100e-18	32 35 +6.200e-05	29 35 +3.544e-05	37 36 +1.100e-18	33 36 +1.100e-18	30 35 +7.640e-05	37 35 +1.100e-18	33 35 +1.100e-18
25 36 +3.626e-05	30 36 +4.160e-05	36 36 +3.838e-05	33 35 +4.700e-05	30 35 +4.980e-05	36 36 +1.100e-18	30 36 +1.100e-18	31 35 +1.100e-18	34 36 +1.100e-18	34 35 +1.100e-18
24 37 +1.100e-18	29 36 +3.042e-05	35 36 +3.160e-05	34 35 +3.670e-05	31 35 +1.100e-18	35 36 +1.100e-18	28 36 +1.054e-05	32 35 +8.180e-05	33 36 +1.100e-18	35 35 +2.482e-05
25 37 +1.786e-05	27 36 +2.172e-05	34 36 +6.520e-05	35 35 +1.100e-18	32 35 +6.620e-05	33 36 +1.100e-18	27 36 +1.140e-05	33 35 +6.020e-05	32 36 +8.920e-05	37 36 +1.110e-04
26 37 +1.488e-05	26 36 +5.320e-05	33 36 +1.018e-04	37 35 +1.100e-18	33 35 +4.880e-05	32 36 +1.100e-18	26 36 +2.144e-05	34 35 +3.210e-05	31 36 +8.000e-05	36 36 +1.100e-18
29 37 +1.846e-05	25 36 +1.100e-18	32 36 +1.100e-18	38 36 +1.100e-18	34 35 +1.100e-18	31 36 +1.100e-18	25 36 +3.736e-05	35 35 +2.482e-05	28 36 +3.470e-05	35 36 +2.578e-05
30 37 +1.100e-18	24 36 +1.100e-18	31 36 +1.020e-04	37 36 +1.268e-04	35 35 +1.100e-18	30 36 +1.028e-04	25 37 +1.100e-18	36 35 +1.100e-18	27 36 +3.302e-05	34 36 +1.100e-18
32 37 +1.100e-18	24 37 +1.100e-18	30 36 +7.900e-05	36 36 +3.132e-05	37 35 +1.100e-18	29 36 +4.340e-05	26 37 +1.632e-05	37 35 +1.100e-18	26 36 +8.040e-05	33 36 +1.100e-18
33 37 +1.100e-18	25 37 +1.100e-18	29 36 +5.000e-05	35 36 +1.100e-18	38 36 +1.100e-18	28 36 +3.762e-05	29 37 +1.100e-18	37 36 +1.100e-18	25 36 +1.100e-18	32 36 +7.700e-05
34 37 +2.236e-05	26 37 +3.500e-05	28 36 +1.100e-18	34 36 +1.100e-18	37 36 +1.194e-04	27 36 +1.100e-18	30 37 +1.822e-05	36 36 +3.134e-05	26 37 +5.400e-05	30 36 +5.180e-05
35 37 +1.354e-05	27 37 +1.956e-05	27 36 +3.614e-05	33 36 +6.700e-05	36 36 +1.100e-18	26 36 +8.820e-05	35 37 +1.100e-18	34 36 +1.100e-18	27 37 +3.136e-05	29 36 +1.100e-18
37 37 +3.226e-05	28 37 +1.100e-18	25 37 +1.100e-18	32 36 +1.100e-18	35 36 +2.502e-05	26 37 +1.100e-18	36 37 +1.614e-05	33 36 +8.120e-05	31 37 +1.124e-04	28 36 +1.100e-18
38 38 +1.100e-18	29 37 +2.676e-05	26 37 +5.900e-05	30 36 +4.800e-05	34 36 +1.100e-18	28 37 +3.302e-05	37 38 +4.300e-05	32 36 +1.100e-18	34 37 +6.760e-05	27 36 +1.100e-18
36 38 +1.434e-05	30 37 +3.954e-05	27 37 +1.100e-18	29 36 +3.254e-05	33 36 +1.100e-18	29 37 +5.660e-05	36 38 +1.776e-05	31 36 +1.100e-18	35 37 +1.100e-18	26 36 +1.100e-18
34 38 +1.100e-18	31 37 +5.940e-05	29 37 +4.880e-05	28 36 +2.552e-05	32 36 +8.700e-05	31 37 +1.100e-18	35 38 +1.458e-05	30 36 +7.120e-05	36 37 +1.100e-18	25 36 +1.100e-18
32 38 +1.100e-18	32 37 +1.100e-18	30 37 +9.160e-05	27 36 +2.638e-05	31 36 +7.700e-05	32 37 +1.100e-18	33 38 +2.196e-05	29 36 +4.700e-05	37 37 +1.100e-18	26 37 +3.784e-05
30 38 +1.926e-05	33 37 +1.100e-18	31 37 +1.238e-04	25 36 +1.100e-18	30 36 +4.960e-05	35 37 +4.160e-05	32 38 +1.100e-18	28 36 +2.636e-05	34 38 +1.100e-18	27 37 +1.100e-18
29 38 +2.052e-05	34 37 +6.300e-05	32 37 +1.100e-18	26 37 +1.100e-18	29 36 +1.100e-18	36 37 +1.100e-18	29 38 +1.100e-18	27 36 +2.328e-05	33 38 +1.100e-18	28 37 +2.360e-05
28 38 +1.100e-18	37 37 +1.100e-18	33 37 +1.202e-04	27 37 +1.100e-18	28 36 +2.498e-05	37 37 +1.100e-18	28 38 +1.100e-18	26 36 +6.060e-05	32 38 +9.780e-05	29 37 +1.100e-18
27 38 +1.168e-05	33 38 +5.920e-05	34 37 +9.220e-05	28 37 +2.344e-05	27 36 +2.524e-05	38 37 +1.100e-18	26 38 +1.568e-05	25 36 +1.100e-18	31 38 +1.014e-04	30 37 +5.600e-05
26 38 +1.528e-05	30 38 +3.780e-05	35 37 +3.302e-05	29 37 +2.464e-05	25 36 +1.100e-18	37 38 +1.382e-04	26 39 +1.862e-05	24 36 +1.100e-18	30 38 +1.100e-18	31 37 +1.100e-18
25 38 +1.100e-18	29 38 +2.034e-05	36 37 +1.100e-18	31 37 +6.940e-05	25 37 +1.098e-04	36 38 +4.360e-05	29 39 +1.284e-05	25 37 +1.038e-04	25 39 +1.100e-18	32 37 +7.540e-05
24 38 +1.100e-18	28 38 +1.836e-05	37 37 +1.170e-04	32 37 +7.780e-05	26 37 +4.660e-05	35 38 +3.802e-05	30 39 +1.596e-05	26 37 +3.786e-05	27 39 +1.100e-18	33 37 +1.100e-18
24 39 +1.100e-18	27 38 +1.914e-05	37 38 +1.210e-04	33 37 +6.760e-05	27 37 +2.312e-05	33 38 +1.142e-04	31 39 +1.782e-05	27 37 +1.100e-18	28 39 +4.086e-05	34 37 +1.100e-18
26 39 +1.100e-18	26 38 +3.644e-05	36 38 +4.240e-05	34 37 +1.100e-18	29 37 +1.100e-18	32 38 +1.344e-04	33 39 +1.568e-05	28 37 +1.100e-18	30 39 +1.100e-18	35 37 +2.642e-05
27 39 +1.230e-05	25 38 +1.100e-18	35 38 +1.100e-18	36 37 +2.926e-05	31 37 +1.100e-18	29 38 +1.100e-18	34 39 +1.100e-18	29 37 +4.220e-05	31 39 +1.100e-18	36 37 +2.738e-05
29 39 +1.100e-18	24 39 +1.100e-18	34 38 +7.820e-05	37 37 +1.100e-18	32 37 +9.220e-05	28 38 +1.100e-18	35 39 +1.100e-18	30 37 +6.140e-05	32 39 +8.100e-05	37 37 +7.900e-05
30 39 +1.672e-05	26 39 +1.226e-04	33 38 +1.082e-04	38 37 +1.100e-18	33 37 +1.100e-18	26 38 +6.700e-05	36 39 +2.226e-05	31 37 +8.120e-05	33 39 +1.100e-18	38 37 +1.100e-18
34 39 +1.100e-18	27 39 +2.424e-05	32 38 +1.174e-04	38 38 +1.100e-18	34 37 +5.280e-05	25 38 +1.100e-18	37 39 +5.260e-05	32 37 +8.560e-05	34 39 +4.028e-05	38 38 +1.100e-18
36 39 +1.806e-05	29 39 +1.100e-18	31 38 +1.298e-04	37 38 +1.100e-18	35 37 +2.252e-05	26 39 +1.148e-04	36 40 +1.100e-18	34 37 +6.100e-05	35 39 +2.222e-05	37 38 +7.680e-05
37 39 +3.734e-05	30 39 +2.014e-05	30 38 +1.100e-18	36 38 +2.944e-05	36 37 +2.656e-05	27 39 +1.100e-18	33 40 +1.216e-05	37 37 +7.660e-05	36 39 +1.100e-18	36 38 +1.100e-18
33 40 +1.026e-05	32 39 +1.100e-18	29 38 +1.100e-18	35 38 +2.202e-05	37 37 +8.280e-05	28 39 +3.142e-05	32 40 +1.202e-05	34 38 +4.004e-05	37 39 +1.100e-18	35 38 +1.100e-18
32 40 +1.166e-05	33 39 +3.848e-05	28 38 +3.314e-05	34 38 +4.840e-05	37 38 +8.680e-05	29 39 +1.100e-18	30 40 +1.142e-05	33 38 +6.880e-05	37 40 +9.920e-05	33 38 +1.100e-18
31 40 +1.210e-05	34 39 +1.100e-18	27 38 +1.100e-18	33 38 +6.080e-05	35 38 +1.100e-18	30 39 +7.100e-05	29 40 +1.002e-05	32 38 +7.560e-05	36 40 +4.900e-05	32 38 +6.880e-05
30 40 +1.010e-05	35 39 +2.172e-05	26 38 +6.660e-05	32 38 +5.880e-05	34 38 +4.340e-05	31 39 +1.000e-04	27 40 +1.100e-18	31 38 +1.100e-18	35 40 +1.100e-18	31 38 +1.100e-18
28 40 +1.086e-05	36 40 +4.600e-05	24 39 +1.100e-18	31 38 +5.580e-05	32 38 +1.100e-18	33 39 +8.520e-05	26 40 +2.626e-05	30 38 +4.008e-05	34 40 +2.420e-05	30 38 +1.100e-18
27 40 +1.530e-05	35 40 +2.542e-05	25 39 +1.100e-18	29 38 +1.100e-18	31 38 +6.720e-05	34 39 +4.640e-05	25 40 +5.140e-05	29 38 +1.100e-18	32 40 +3.260e-05	28 38 +1.100e-18
26 40 +1.100e-18	33 40 +1.100e-18	26 39 +1.060e-04	28 38 +1.976e-05	30 38 +1.100e-18	37 39 +1.100e-18	26 41 +4.500e-05	28 38 +1.100e-18	31 40 +1.100e-18	27 38 +2.174e-05
25 40 +1.100e-18	31 40 +1.814e-05	28 39 +1.100e-18	27 38 +2.134e-05	29 38 +2.728e-05	37 40 +1.100e-18	27 41 +1.100e-18	27 38 +2.028e-05	30 40 +3.722e-05	25 39 +1.218e-04
26 41 +4.580e-05	30 40 +1.744e-05	29 39 +1.100e-18	26 38 +1.100e-18	28 38 +2.166e-05	36 40 +1.106e-04	30 41 +1.144e-05	26 38 +1.100e-18	29 40 +4.084e-05	28 39 +2.022e-05
27 41 +2.976e-05	28 40 +2.024e-05	30 39 +1.100e-18	25 38 +1.100e-18	27 38 +2.338e-05	34 40 +3.380e-05	31 41 +1.100e-18	25 38 +7.980e-05	28 40 +4.780e-05	29 39 +1.990e-05
30 41 +1.100e-18	27 40 +3.618e-05	31 39 +8.640e-05	26 39 +1.100e-18	26 38 +1.100e-18	33 40 +3.292e-05	33 41 +1.100e-18	24 39 +1.100e-18	27 40 +8.800e-05	30 39 +1.100e-18
32 41 +1.084e-05	27 41 +1.100e-18	32 39 +7.580e-05	27 39 +2.664e-05	25 38 +1.120e-04	31 40 +1.100e-18	34 41 +1.524e-05	25 39 +1.100e-18	26 40 +1.100e-18	31 39 +1.100e-18
33 41 +1.086e-05	30 41 +1.100e-18	34 39 +1.100e-18	29 39 +1.584e-05	24 38 +8.040e-05	30 40 +3.476e-05	35 41 +1.100e-18	26 39 +1.100e-18	26 41 +1.100e-18	32 39 +1.100e-18
36 41 +3.322e-05	31 41 +1.980e-05	35 39 +3.502e-05	30 39 +2.890e-05	24 39 +1.100e-18	29 40 +3.678e-05	34 42 +1.100e-18	27 39 +2.296e-05	28 41 +1.150e-04	33 39 +3.986e-05
33 42 +1.756e-05	33 41 +1.876e-05	36 39 +1.100e-18	33 39 +4.180e-05	25 39 +1.100e-18	27 40 +9.820e-05	33 42 +2.408e-05	28 39 +1.806e-05	29 41 +6.140e-05	34 39 +1.100e-18
32 42 +1.750e-05	35 41 +3.850e-05	37 39 +1.100e-18	34 39 +2.332e-05	26 39 +1.100e-18	26 40 +1.100e-18	32 42 +2.098e-05	29 39 +2.082e-05	30 41 +4.240e-05	35 39 +1.100e-18
26 42 +1.100e-18	36 41 +1.100e-18	37 40 +1.100e-18	35 39 +2.042e-05	27 39 +1.100e-18	27 41 +1.100e-18	31 42 +2.100e-05	30 39 +2.906e-05	31 41 +3.528e-05	36 39 +3.424e-05
31 30 +1.000e-18	35 42 +1.100e-18	36 40 +8.720e-05	35 40 +1.100e-18	28 39 +2.092e-05	28 41 +1.030e-04	30 42 +2.046e-05	31 39 +2.680e-05	32 41 +3.526e-05	37 40 +1.100e-18
32 30 +1.000e-18	34 42 +1.100e-18	35 40 +4.260e-05	34 40 +1.100e-18	29 39 +2.222e-05	29 41 +1.100e-18	28 42 +1.100e-18	33 39 +2.726e-05	35 41 +5.000e-05	36 40 +4.120e-05
28 31 +1.000e-18	33 42 +3.412e-05	34 40 +1.100e-18	33 40 +1.854e-05	30 39 +2.242e-05	30 41 +1.100e-18	30 43 +1.100e-18	34 39 +2.036e-05	36 41 +6.740e-05	35 40 +1.100e-18
29 31 +1.000e-18	31 42 +3.036e-05	33 40 +1.100e-18	32 40 +1.100e-18	31 39 +3.276e-05	31 41 +1.100e-18	32 43 +1.100e-18	37 39 +8.340e-05	35 42 +6.160e-05	33 40 +1.100e-18
32 31 +1.000e-18	29 42 +5.120e-05	32 40 +1.100e-18	31 40 +1.100e-18	32 39 +3.876e-05	32 41 +4.058e-05	34 43 +2.832e-05	36 40 +1.100e-18	34 42 +6.280e-05	32 40 +1.900e-05
33 31 +1.000e-18	28 42 +9.420e-05	31 40 +3.346e-05	30 40 +1.730e-05	33 39 +3.818e-05	35 41 +9.060e-05	31 30 +1.000e-18	35 40 +2.532e-05	33 42 +6.340e-05	31 40 +1.100e-18
34 31 +1.000e-18	30 43 +1.100e-18	29 40 +4.032e-05	29 40 +1.634e-05	34 39 +2.086e-05	36 41 +1.100e-18	32 30 +1.000e-18	34 40 +1.100e-18	31 42 +8.420e-05	27 40 +1.100e-18
35 31 +1.000e-18	31 43 +6.960e-05	28 40 +4.920e-05	28 40 +2.020e-05	35 39 +1.978e-05	35 42 +1.100e-18	28 31 +1.000e-18	33 40 +1.912e-05	28 42 +1.100e-18	26 40 +9.380e-05
26 32 +1.000e-18	33 43 +1.100e-18	26 40 +1.100e-18	27 40 +3.758e-05	36 39 +3.414e-05	34 42 +1.264e-04	29 31 +1.000e-18	32 40 +1.958e-05	27 42 +1.100e-18	26 41 +1.100e-18
27 32 +1.000e-18	34 43 +1.100e-18	25 40 +1.100e-18	26 40 +1.020e-04	37 40 +1.100e-18	33 42 +9.980e-05	30 31 +1.000e-18	31 40 +2.166e-05	29 43 +1.100e-18	28 41 +3.684e-05
28 32 +1.000e-18	31 30 +1.000e-18	25 41 +1.100e-18	25 40 +1.100e-18	36 40 +4.880e-05	32 42 +9.940e-05	34 31 +1.000e-18	30 40 +1.966e-05	30 43 +1.100e-18	31 41 +2.120e-05
30 32 +1.000e-18	32 30 +1.000e-18	26 41 +1.100e-18	25 41 +1.100e-18	35 40 +2.592e-05	31 42 +1.008e-04	35 31 +1.000e-18	29 40 +1.100e-18	33 43 +1.034e-04	32 41 +1.100e-18
36 32 +1.000e-18	28 31 +1.000e-18	27 41 +1.100e-18	26 41 +1.100e-18	33 40 +1.810e-05	29 42 +1.394e-04	26 32 +1.000e-18	27 40 +1.100e-18	31 30 +1.000e-18	34 41 +1.100e-18
27 33 +1.000e-18	29 31 +1.000e-18	28 41 +9.180e-05	28 41 +3.676e-05	32 40 +1.982e-05	28 42 +1.100e-18	33 32 +1.000e-18	26 40 +9.080e-05	32 30 +1.000e-18	35 41 +1.100e-18
28 33 +1.000e-18	30 31 +1.000e-18	29 41 +5.980e-05	30 41 +1.994e-05	31 40 +2.072e-05	27 42 +1.100e-18	34 32 +1.000e-18	26 41 +1.100e-18	28 31 +1.000e-18	36 41 +1.100e-18
29 33 +1.000e-18	31 31 +1.000e-18	30 41 +1.100e-18	31 41 +1.834e-05	30 40 +2.104e-05	29 43 +1.100e-18	36 32 +1.000e-18	27 41 +8.400e-05	29 31 +1.000e-18	34 42 +1.100e-18
30 33 +1.000e-18	32 31 +1.000e-18	31 41 +1.100e-18	32 41 +1.802e-05	28 40 +1.100e-18	31 30 +1.000e-18	25 33 +1.000e-18	28 41 +3.452e-05	33 31 +1.000e-18	33 42 +3.232e-05
31 33 +1.000e-18	34 31 +1.000e-18	32 41 +3.684e-05	33 41 +1.100e-18	27 40 +4.260e-05	32 30 +1.000e-18	26 33 +1.000e-18	29 41 +1.100e-18	34 31 +1.000e-18	32 42 +2.854e-05
32 33 +1.000e-18	35 31 +1.000e-18	33 41 +3.744e-05	30 42 +1.100e-18	26 40 +1.308e-04	28 31 +1.000e-18	27 33 +1.000e-18	30 41 +2.152e-05	35 31 +1.000e-18	31 42 +1.100e-18
35 33 +1.000e-18	26 32 +1.000e-18	35 41 +7.900e-05	29 42 +5.080e-05	27 41 +1.246e-04	32 31 +1.000e-18	28 33 +1.000e-18	32 41 +1.956e-05	26 32 +1.000e-18	29 42 +5.620e-05
37 33 +1.000e-18	34 32 +1.000e-18	36 41 +1.228e-04	28 42 +7.620e-05	28 41 +1.100e-18	34 31 +1.000e-18	29 33 +1.000e-18	33 41 +1.100e-18	27 32 +1.000e-18	28 42 +1.232e-04
25 34 +1.000e-18	36 32 +1.000e-18	35 42 +1.100e-18	27 42 +1.100e-18	31 41 +1.100e-18	35 31 +1.000e-18	32 33 +1.000e-18	34 41 +2.342e-05	28 32 +1.000e-18	27 42 +1.100e-18
27 34 +1.000e-18	25 33 +1.000e-18	34 42 +1.112e-04	26 42 +1.100e-18	32 41 +1.100e-18	26 32 +1.000e-18	34 33 +1.000e-18	35 41 +3.686e-05	34 32 +1.000e-18	31 30 +1.000e-18
28 34 +1.000e-18	29 33 +1.000e-18	33 42 +8.880e-05	29 43 +1.100e-18	33 41 +2.126e-05	27 32 +1.000e-18	36 33 +1.000e-18	35 42 +4.960e-05	35 32 +1.000e-18	32 30 +1.000e-18
34 34 +1.000e-18	30 33 +1.000e-18	32 42 +7.780e-05	33 43 +5.440e-05	35 41 +4.260e-05	28 32 +1.000e-18	37 33 +1.000e-18	34 42 +4.460e-05	36 32 +1.000e-18	28 31 +1.000e-18
35 34 +1.000e-18	35 33 +1.000e-18	31 42 +8.320e-05	31 30 +1.000e-18	36 41 +1.100e-18	29 32 +1.000e-18	25 34 +1.000e-18	33 42 +1.100e-18	25 33 +1.000e-18	29 31 +1.000e-18
37 34 +1.000e-18	36 33 +1.000e-18	30 42 +9.120e-05	32 30 +1.000e-18	35 42 +5.720e-05	30 32 +1.000e-18	26 34 +1.000e-18	32 42 +2.956e-05	31 33 +1.000e-18	31 31 +1.000e-18
38 34 +1.000e-18	37 33 +1.000e-18	29 42 +1.100e-18	28 31 +1.000e-18	34 42 +4.820e-05	33 32 +1.000e-18	27 34 +1.000e-18	31 42 +3.130e-05	35 33 +1.000e-18	32 31 +1.000e-18
24 35 +1.000e-18	30 34 +1.000e-18	28 42 +1.100e-18	33 31 +1.000e-18	33 42 +3.656e-05	36 32 +1.000e-18	33 34 +1.000e-18	28 42 +1.100e-18	37 33 +1.000e-18	34 31 +1.000e-18
