xx yy kga030.w10	xx yy kga030.w11	xx yy kga030.w12	xx yy kga030.w13	xx yy kga030.w14	xx yy kga030.w15	xx yy kga030.w16	xx yy kga030.w17	xx yy kga030.w18	xx yy kga030.w19
33 35 +2.060e-05	26 34 +1.100e-18	30 34 +1.100e-18	34 34 +1.100e-18	32 34 +1.100e-18	29 34 +1.100e-18	26 35 +1.100e-18	35 34 +8.920e-04	28 34 +1.100e-18	32 34 +2.772e-03
34 35 +1.100e-18	25 34 +1.100e-18	28 34 +1.100e-18	33 34 +1.100e-18	31 34 +3.588e-05	28 34 +1.100e-18	27 35 +1.100e-18	34 34 +1.100e-18	27 34 +1.100e-18	31 34 +1.100e-18
35 35 +8.420e-04	27 35 +1.100e-18	26 34 +2.470e-03	32 34 +9.020e-03	29 34 +1.100e-18	26 35 +1.466e-03	28 35 +1.100e-18	33 34 +1.100e-18	25 34 +3.178e-02	30 34 +3.846e-03
36 35 +1.100e-18	29 35 +1.100e-18	29 35 +1.632e-04	31 34 +1.100e-18	28 34 +1.100e-18	27 35 +6.100e-05	29 35 +1.100e-18	32 34 +1.100e-18	25 35 +1.100e-18	29 34 +1.100e-18
37 35 +1.100e-18	30 35 +1.100e-18	30 35 +1.100e-18	30 34 +2.498e-03	27 34 +1.100e-18	28 35 +1.100e-18	30 35 +1.100e-18	31 34 +4.340e-05	26 35 +1.100e-18	27 34 +1.100e-18
37 36 +1.100e-18	31 35 +1.100e-18	31 35 +7.422e-03	29 34 +4.160e-03	26 34 +1.100e-18	29 35 +1.100e-18	31 35 +1.100e-18	30 34 +1.100e-18	27 35 +1.100e-18	26 34 +1.100e-18
36 36 +4.476e-03	32 35 +1.100e-18	32 35 +1.100e-18	28 34 +1.100e-18	25 34 +1.100e-18	30 35 +1.100e-18	32 35 +1.100e-18	27 34 +1.770e-04	28 35 +1.100e-18	25 34 +3.862e-02
34 36 +2.774e-04	33 35 +1.100e-18	33 35 +1.100e-18	27 34 +1.100e-18	24 35 +1.100e-18	31 35 +5.620e-04	35 35 +2.024e-03	26 34 +1.100e-18	29 35 +1.100e-18	25 35 +4.254e-03
33 36 +8.300e-03	35 35 +1.100e-18	34 35 +1.100e-18	27 35 +1.100e-18	25 35 +1.100e-18	32 35 +1.100e-18	37 35 +1.100e-18	25 34 +1.100e-18	30 35 +1.100e-18	26 35 +1.688e-04
30 36 +1.428e-03	36 35 +1.100e-18	35 35 +1.100e-18	28 35 +1.100e-18	26 35 +1.100e-18	33 35 +1.100e-18	37 36 +1.100e-18	25 35 +1.100e-18	32 35 +3.942e-04	27 35 +1.100e-18
29 36 +8.820e-03	36 36 +1.100e-18	36 35 +1.100e-18	30 35 +1.100e-18	27 35 +1.100e-18	35 35 +1.100e-18	35 36 +1.192e-03	28 35 +1.100e-18	34 35 +1.100e-18	28 35 +4.160e-05
27 36 +7.354e-03	35 36 +9.760e-03	37 35 +1.100e-18	31 35 +1.100e-18	28 35 +1.100e-18	37 35 +1.858e-03	34 36 +7.658e-03	29 35 +1.100e-18	35 35 +1.100e-18	30 35 +1.100e-18
26 36 +1.100e-18	34 36 +1.100e-18	37 36 +1.100e-18	32 35 +1.100e-18	29 35 +1.100e-18	37 36 +1.100e-18	33 36 +4.432e-03	30 35 +1.100e-18	37 35 +1.100e-18	33 35 +1.100e-18
25 36 +1.100e-18	30 36 +1.100e-18	36 36 +1.100e-18	33 35 +1.100e-18	30 35 +1.100e-18	36 36 +1.574e-03	30 36 +1.866e-05	31 35 +1.538e-03	34 36 +1.100e-18	34 35 +1.100e-18
24 37 +3.568e-03	29 36 +1.100e-18	35 36 +1.100e-18	34 35 +1.100e-18	31 35 +6.020e-05	35 36 +3.988e-05	28 36 +1.100e-18	32 35 +1.100e-18	33 36 +1.100e-18	35 35 +1.100e-18
25 37 +1.100e-18	27 36 +1.100e-18	34 36 +1.100e-18	35 35 +1.100e-18	32 35 +1.100e-18	33 36 +1.100e-18	27 36 +1.100e-18	33 35 +1.100e-18	32 36 +1.100e-18	37 36 +1.100e-18
26 37 +1.100e-18	26 36 +1.100e-18	33 36 +1.100e-18	37 35 +1.100e-18	33 35 +1.100e-18	32 36 +1.100e-18	26 36 +1.100e-18	34 35 +1.100e-18	31 36 +1.100e-18	36 36 +1.100e-18
29 37 +1.100e-18	25 36 +1.100e-18	32 36 +5.060e-04	38 36 +5.112e-02	34 35 +5.864e-03	31 36 +8.220e-04	25 36 +1.100e-18	35 35 +1.100e-18	28 36 +1.100e-18	35 36 +1.100e-18
30 37 +8.640e-04	24 36 +1.100e-18	31 36 +1.100e-18	37 36 +1.100e-18	35 35 +8.400e-04	30 36 +1.100e-18	25 37 +1.100e-18	36 35 +6.460e-04	27 36 +1.100e-18	34 36 +1.100e-18
32 37 +1.100e-18	24 37 +4.600e-04	30 36 +1.100e-18	36 36 +1.100e-18	37 35 +1.100e-18	29 36 +1.100e-18	26 37 +1.100e-18	37 35 +2.012e-03	26 36 +1.100e-18	33 36 +1.538e-03
33 37 +1.100e-18	25 37 +1.100e-18	29 36 +1.100e-18	35 36 +2.688e-05	38 36 +1.100e-18	28 36 +1.100e-18	29 37 +4.340e-04	37 36 +2.674e-03	25 36 +1.100e-18	32 36 +1.100e-18
34 37 +1.100e-18	26 37 +1.100e-18	28 36 +1.100e-18	34 36 +1.100e-18	37 36 +1.100e-18	27 36 +1.714e-03	30 37 +1.100e-18	36 36 +1.100e-18	26 37 +1.100e-18	30 36 +1.100e-18
35 37 +1.100e-18	27 37 +1.100e-18	27 36 +1.100e-18	33 36 +1.100e-18	36 36 +1.100e-18	26 36 +1.100e-18	35 37 +1.100e-18	34 36 +5.300e-05	27 37 +1.100e-18	29 36 +3.168e-04
37 37 +1.100e-18	28 37 +1.100e-18	25 37 +3.854e-04	32 36 +1.100e-18	35 36 +1.100e-18	26 37 +1.100e-18	36 37 +1.100e-18	33 36 +1.100e-18	31 37 +1.100e-18	28 36 +1.464e-03
38 38 +1.100e-18	29 37 +1.100e-18	26 37 +1.100e-18	30 36 +1.100e-18	34 36 +1.100e-18	28 37 +1.100e-18	37 38 +1.100e-18	32 36 +2.964e-03	34 37 +1.100e-18	27 36 +7.324e-03
36 38 +1.100e-18	30 37 +1.100e-18	27 37 +1.100e-18	29 36 +1.100e-18	33 36 +1.100e-18	29 37 +1.100e-18	36 38 +1.100e-18	31 36 +1.084e-02	35 37 +1.100e-18	26 36 +6.300e-05
34 38 +2.024e-05	31 37 +1.100e-18	29 37 +1.100e-18	28 36 +1.100e-18	32 36 +1.100e-18	31 37 +1.100e-18	35 38 +1.100e-18	30 36 +1.100e-18	36 37 +5.092e-03	25 36 +1.100e-18
32 38 +1.100e-18	32 37 +1.826e-03	30 37 +1.100e-18	27 36 +1.100e-18	31 36 +1.100e-18	32 37 +1.100e-18	33 38 +1.100e-18	29 36 +1.100e-18	37 37 +1.100e-18	26 37 +1.100e-18
30 38 +1.100e-18	33 37 +1.966e-03	31 37 +1.100e-18	25 36 +4.086e-04	30 36 +1.100e-18	35 37 +1.100e-18	32 38 +7.560e-04	28 36 +1.100e-18	34 38 +9.480e-04	27 37 +6.300e-04
29 38 +1.100e-18	34 37 +1.100e-18	32 37 +1.752e-03	26 37 +1.824e-01	29 36 +1.100e-18	36 37 +3.770e-05	29 38 +4.228e-03	27 36 +1.100e-18	33 38 +7.480e-04	28 37 +1.100e-18
28 38 +1.100e-18	37 37 +1.100e-18	33 37 +1.100e-18	27 37 +1.100e-18	28 36 +1.100e-18	37 37 +1.100e-18	28 38 +1.248e-04	26 36 +1.100e-18	32 38 +1.100e-18	29 37 +1.100e-18
27 38 +1.100e-18	33 38 +1.100e-18	34 37 +1.100e-18	28 37 +1.100e-18	27 36 +1.100e-18	38 37 +1.100e-18	26 38 +1.100e-18	25 36 +1.680e-02	31 38 +1.100e-18	30 37 +1.100e-18
26 38 +1.100e-18	30 38 +1.100e-18	35 37 +1.100e-18	29 37 +1.100e-18	25 36 +1.100e-18	37 38 +1.100e-18	26 39 +1.100e-18	24 36 +1.100e-18	30 38 +1.100e-18	31 37 +8.800e-03
25 38 +1.100e-18	29 38 +1.100e-18	36 37 +1.484e-03	31 37 +1.100e-18	25 37 +1.100e-18	36 38 +1.100e-18	29 39 +1.100e-18	25 37 +1.100e-18	25 39 +2.044e-04	32 37 +1.100e-18
24 38 +1.978e-04	28 38 +1.100e-18	37 37 +1.100e-18	32 37 +1.100e-18	26 37 +1.100e-18	35 38 +1.100e-18	30 39 +1.100e-18	26 37 +1.100e-18	27 39 +1.100e-18	33 37 +2.070e-04
24 39 +1.100e-18	27 38 +1.100e-18	37 38 +1.100e-18	33 37 +1.100e-18	27 37 +1.100e-18	33 38 +1.100e-18	31 39 +1.100e-18	27 37 +1.100e-18	28 39 +1.100e-18	34 37 +6.760e-05
26 39 +4.246e-03	26 38 +1.100e-18	36 38 +1.100e-18	34 37 +9.900e-04	29 37 +2.760e-04	32 38 +1.100e-18	33 39 +1.100e-18	28 37 +2.032e-03	30 39 +6.860e-05	35 37 +1.100e-18
27 39 +1.100e-18	25 38 +6.584e-03	35 38 +4.664e-03	36 37 +1.100e-18	31 37 +1.100e-18	29 38 +1.632e-03	34 39 +3.724e-04	29 37 +1.100e-18	31 39 +3.322e-04	36 37 +1.100e-18
29 39 +1.898e-03	24 39 +1.100e-18	34 38 +1.100e-18	37 37 +1.100e-18	32 37 +1.100e-18	28 38 +1.514e-03	35 39 +1.352e-05	30 37 +1.100e-18	32 39 +1.100e-18	37 37 +1.100e-18
30 39 +1.100e-18	26 39 +1.100e-18	33 38 +1.100e-18	38 37 +2.226e-01	33 37 +1.100e-18	26 38 +1.100e-18	36 39 +1.100e-18	31 37 +1.100e-18	33 39 +1.100e-18	38 37 +7.460e-04
34 39 +1.100e-18	27 39 +1.100e-18	32 38 +1.100e-18	38 38 +1.100e-18	34 37 +1.100e-18	25 38 +1.100e-18	37 39 +1.100e-18	32 37 +1.100e-18	34 39 +1.100e-18	38 38 +1.100e-18
36 39 +1.100e-18	29 39 +2.270e-03	31 38 +1.100e-18	37 38 +1.100e-18	35 37 +1.100e-18	26 39 +1.100e-18	36 40 +1.100e-18	34 37 +1.100e-18	35 39 +1.100e-18	37 38 +1.100e-18
37 39 +1.100e-18	30 39 +1.100e-18	30 38 +5.320e-04	36 38 +1.100e-18	36 37 +1.100e-18	27 39 +1.100e-18	33 40 +1.100e-18	37 37 +1.100e-18	36 39 +1.100e-18	36 38 +1.100e-18
33 40 +1.100e-18	32 39 +1.100e-18	29 38 +1.100e-18	35 38 +1.100e-18	37 37 +1.100e-18	28 39 +1.100e-18	32 40 +1.100e-18	34 38 +1.100e-18	37 39 +1.100e-18	35 38 +1.852e-03
32 40 +1.100e-18	33 39 +1.100e-18	28 38 +1.100e-18	34 38 +1.100e-18	37 38 +1.100e-18	29 39 +6.580e-04	30 40 +1.100e-18	33 38 +1.100e-18	37 40 +1.100e-18	33 38 +1.060e-02
31 40 +1.100e-18	34 39 +1.100e-18	27 38 +1.488e-04	33 38 +1.100e-18	35 38 +4.480e-03	30 39 +1.100e-18	29 40 +1.100e-18	32 38 +1.100e-18	36 40 +1.100e-18	32 38 +1.100e-18
30 40 +1.100e-18	35 39 +1.100e-18	26 38 +1.100e-18	32 38 +1.100e-18	34 38 +1.100e-18	31 39 +1.100e-18	27 40 +1.618e-05	31 38 +7.780e-05	35 40 +1.100e-18	31 38 +1.100e-18
28 40 +1.100e-18	36 40 +1.100e-18	24 39 +1.100e-18	31 38 +1.100e-18	32 38 +1.100e-18	33 39 +1.100e-18	26 40 +1.100e-18	30 38 +1.100e-18	34 40 +1.100e-18	30 38 +2.228e-03
27 40 +1.100e-18	35 40 +1.100e-18	25 39 +1.100e-18	29 38 +5.420e-04	31 38 +1.100e-18	34 39 +1.100e-18	25 40 +1.100e-18	29 38 +5.776e-03	32 40 +1.100e-18	28 38 +1.100e-18
26 40 +1.100e-18	33 40 +1.082e-02	26 39 +1.100e-18	28 38 +1.100e-18	30 38 +2.934e-05	37 39 +1.100e-18	26 41 +1.100e-18	28 38 +2.688e-02	31 40 +1.860e-03	27 38 +1.100e-18
25 40 +1.100e-18	31 40 +1.100e-18	28 39 +1.100e-18	27 38 +1.100e-18	29 38 +1.100e-18	37 40 +1.100e-18	27 41 +2.446e-05	27 38 +1.100e-18	30 40 +1.100e-18	25 39 +1.100e-18
26 41 +1.100e-18	30 40 +1.100e-18	29 39 +1.100e-18	26 38 +1.100e-18	28 38 +1.100e-18	36 40 +1.100e-18	30 41 +1.100e-18	26 38 +1.484e-03	29 40 +1.100e-18	28 39 +1.100e-18
27 41 +1.100e-18	28 40 +1.100e-18	30 39 +2.384e-03	25 38 +2.204e-01	27 38 +1.100e-18	34 40 +1.100e-18	31 41 +1.100e-18	25 38 +1.100e-18	28 40 +1.100e-18	29 39 +1.100e-18
30 41 +9.800e-06	27 40 +1.100e-18	31 39 +1.100e-18	26 39 +1.918e-03	26 38 +1.222e-03	33 40 +1.100e-18	33 41 +1.268e-05	24 39 +1.100e-18	27 40 +1.100e-18	30 39 +1.100e-18
32 41 +1.100e-18	27 41 +1.100e-18	32 39 +1.100e-18	27 39 +1.100e-18	25 38 +1.100e-18	31 40 +4.260e-05	34 41 +1.100e-18	25 39 +1.100e-18	26 40 +1.100e-18	31 39 +1.216e-03
33 41 +1.100e-18	30 41 +1.946e-05	34 39 +1.100e-18	29 39 +1.100e-18	24 38 +1.100e-18	30 40 +1.100e-18	35 41 +4.360e-04	26 39 +4.680e-05	26 41 +1.100e-18	32 39 +8.152e-03
36 41 +1.100e-18	31 41 +1.100e-18	35 39 +1.100e-18	30 39 +1.100e-18	24 39 +1.100e-18	29 40 +1.100e-18	34 42 +1.988e-04	27 39 +1.100e-18	28 41 +1.100e-18	33 39 +1.100e-18
33 42 +1.100e-18	33 41 +1.100e-18	36 39 +1.100e-18	33 39 +1.100e-18	25 39 +3.262e-04	27 40 +1.100e-18	33 42 +1.100e-18	28 39 +1.100e-18	29 41 +1.100e-18	34 39 +1.100e-18
32 42 +1.100e-18	35 41 +1.100e-18	37 39 +1.654e-03	34 39 +1.100e-18	26 39 +6.360e-05	26 40 +1.100e-18	32 42 +1.100e-18	29 39 +1.100e-18	30 41 +1.100e-18	35 39 +1.734e-03
26 42 +1.100e-18	36 41 +5.188e-03	37 40 +1.100e-18	35 39 +1.100e-18	27 39 +1.100e-18	27 41 +1.100e-18	31 42 +1.100e-18	30 39 +1.100e-18	31 41 +1.100e-18	36 39 +1.100e-18
31 30 +1.000e-18	35 42 +1.100e-18	36 40 +1.100e-18	35 40 +1.132e-04	28 39 +1.100e-18	28 41 +1.100e-18	30 42 +1.100e-18	31 39 +1.100e-18	32 41 +1.100e-18	37 40 +1.100e-18
32 30 +1.000e-18	34 42 +6.060e-04	35 40 +1.100e-18	34 40 +1.100e-18	29 39 +1.100e-18	29 41 +1.100e-18	28 42 +2.784e-05	33 39 +1.100e-18	35 41 +1.100e-18	36 40 +1.100e-18
28 31 +1.000e-18	33 42 +1.100e-18	34 40 +2.302e-02	33 40 +1.100e-18	30 39 +1.100e-18	30 41 +2.794e-03	30 43 +3.764e-05	34 39 +1.100e-18	36 41 +1.100e-18	35 40 +5.860e-04
29 31 +1.000e-18	31 42 +1.100e-18	33 40 +1.100e-18	32 40 +2.642e-03	31 39 +1.100e-18	31 41 +4.520e-05	32 43 +2.884e-05	37 39 +1.100e-18	35 42 +1.100e-18	33 40 +1.646e-05
32 31 +1.000e-18	29 42 +1.100e-18	32 40 +1.100e-18	31 40 +2.002e-05	32 39 +1.100e-18	32 41 +1.100e-18	34 43 +1.100e-18	36 40 +3.840e-04	34 42 +1.100e-18	32 40 +1.100e-18
33 31 +1.000e-18	28 42 +1.100e-18	31 40 +1.100e-18	30 40 +1.100e-18	33 39 +1.100e-18	35 41 +1.100e-18	31 30 +1.000e-18	35 40 +1.100e-18	33 42 +1.100e-18	31 40 +9.500e-03
34 31 +1.000e-18	30 43 +1.314e-03	29 40 +1.100e-18	29 40 +1.100e-18	34 39 +1.100e-18	36 41 +1.100e-18	32 30 +1.000e-18	34 40 +1.884e-05	31 42 +1.100e-18	27 40 +1.100e-18
35 31 +1.000e-18	31 43 +1.100e-18	28 40 +1.100e-18	28 40 +1.100e-18	35 39 +1.100e-18	35 42 +1.100e-18	28 31 +1.000e-18	33 40 +1.100e-18	28 42 +1.100e-18	26 40 +1.100e-18
26 32 +1.000e-18	33 43 +1.518e-03	26 40 +1.100e-18	27 40 +1.100e-18	36 39 +1.100e-18	34 42 +1.100e-18	29 31 +1.000e-18	32 40 +1.100e-18	27 42 +6.220e-04	26 41 +1.100e-18
27 32 +1.000e-18	34 43 +4.410e-03	25 40 +1.964e-03	26 40 +1.100e-18	37 40 +1.100e-18	33 42 +1.100e-18	30 31 +1.000e-18	31 40 +1.100e-18	29 43 +1.598e-03	28 41 +1.100e-18
28 32 +1.000e-18	31 30 +1.000e-18	25 41 +1.100e-18	25 40 +4.140e-04	36 40 +1.100e-18	32 42 +1.100e-18	34 31 +1.000e-18	30 40 +1.100e-18	30 43 +1.100e-18	31 41 +1.100e-18
30 32 +1.000e-18	32 30 +1.000e-18	26 41 +6.982e-03	25 41 +1.100e-18	35 40 +1.100e-18	31 42 +1.100e-18	35 31 +1.000e-18	29 40 +7.360e-04	33 43 +1.100e-18	32 41 +1.100e-18
36 32 +1.000e-18	28 31 +1.000e-18	27 41 +1.100e-18	26 41 +3.602e-04	33 40 +1.100e-18	29 42 +1.100e-18	26 32 +1.000e-18	27 40 +5.220e-03	31 30 +1.000e-18	34 41 +4.600e-04
27 33 +1.000e-18	29 31 +1.000e-18	28 41 +1.100e-18	28 41 +1.100e-18	32 40 +1.100e-18	28 42 +1.100e-18	33 32 +1.000e-18	26 40 +1.100e-18	32 30 +1.000e-18	35 41 +1.094e-03
28 33 +1.000e-18	30 31 +1.000e-18	29 41 +1.100e-18	30 41 +1.100e-18	31 40 +1.100e-18	27 42 +1.100e-18	34 32 +1.000e-18	26 41 +1.100e-18	28 31 +1.000e-18	36 41 +1.580e-02
29 33 +1.000e-18	31 31 +1.000e-18	30 41 +4.440e-05	31 41 +1.100e-18	30 40 +1.100e-18	29 43 +1.100e-18	36 32 +1.000e-18	27 41 +1.100e-18	29 31 +1.000e-18	34 42 +3.092e-02
30 33 +1.000e-18	32 31 +1.000e-18	31 41 +2.966e-04	32 41 +1.100e-18	28 40 +1.924e-03	31 30 +1.000e-18	25 33 +1.000e-18	28 41 +1.100e-18	33 31 +1.000e-18	33 42 +1.100e-18
31 33 +1.000e-18	34 31 +1.000e-18	32 41 +1.100e-18	33 41 +7.998e-03	27 40 +1.100e-18	32 30 +1.000e-18	26 33 +1.000e-18	29 41 +5.320e-04	34 31 +1.000e-18	32 42 +1.100e-18
32 33 +1.000e-18	35 31 +1.000e-18	33 41 +1.100e-18	30 42 +1.100e-18	26 40 +1.100e-18	28 31 +1.000e-18	27 33 +1.000e-18	30 41 +1.100e-18	35 31 +1.000e-18	31 42 +3.116e-05
35 33 +1.000e-18	26 32 +1.000e-18	35 41 +1.100e-18	29 42 +1.100e-18	27 41 +1.100e-18	32 31 +1.000e-18	28 33 +1.000e-18	32 41 +1.100e-18	26 32 +1.000e-18	29 42 +1.100e-18
37 33 +1.000e-18	34 32 +1.000e-18	36 41 +1.100e-18	28 42 +1.100e-18	28 41 +1.100e-18	34 31 +1.000e-18	29 33 +1.000e-18	33 41 +1.100e-18	27 32 +1.000e-18	28 42 +1.100e-18
25 34 +1.000e-18	36 32 +1.000e-18	35 42 +1.100e-18	27 42 +2.618e-04	31 41 +1.100e-18	35 31 +1.000e-18	32 33 +1.000e-18	34 41 +1.100e-18	28 32 +1.000e-18	27 42 +2.634e-04
27 34 +1.000e-18	25 33 +1.000e-18	34 42 +1.100e-18	26 42 +1.100e-18	32 41 +1.100e-18	26 32 +1.000e-18	34 33 +1.000e-18	35 41 +1.100e-18	34 32 +1.000e-18	31 30 +1.000e-18
28 34 +1.000e-18	29 33 +1.000e-18	33 42 +1.100e-18	29 43 +5.020e-04	33 41 +1.100e-18	27 32 +1.000e-18	36 33 +1.000e-18	35 42 +1.100e-18	35 32 +1.000e-18	32 30 +1.000e-18
34 34 +1.000e-18	30 33 +1.000e-18	32 42 +1.100e-18	33 43 +1.100e-18	35 41 +1.100e-18	28 32 +1.000e-18	37 33 +1.000e-18	34 42 +1.100e-18	36 32 +1.000e-18	28 31 +1.000e-18
35 34 +1.000e-18	35 33 +1.000e-18	31 42 +1.100e-18	31 30 +1.000e-18	36 41 +8.560e-04	29 32 +1.000e-18	25 34 +1.000e-18	33 42 +1.100e-18	25 33 +1.000e-18	29 31 +1.000e-18
37 34 +1.000e-18	36 33 +1.000e-18	30 42 +1.100e-18	32 30 +1.000e-18	35 42 +1.100e-18	30 32 +1.000e-18	26 34 +1.000e-18	32 42 +1.100e-18	31 33 +1.000e-18	31 31 +1.000e-18
38 34 +1.000e-18	37 33 +1.000e-18	29 42 +1.374e-04	28 31 +1.000e-18	34 42 +1.100e-18	33 32 +1.000e-18	27 34 +1.000e-18	31 42 +1.100e-18	35 33 +1.000e-18	32 31 +1.000e-18
24 35 +1.000e-18	30 34 +1.000e-18	28 42 +1.100e-18	33 31 +1.000e-18	33 42 +1.100e-18	36 32 +1.000e-18	33 34 +1.000e-18	28 42 +7.980e-03	37 33 +1.000e-18	34 31 +1.000e-18
