xx yy kga030.w01	xx yy kga030.w02	xx yy kga030.w03	xx yy kga030.w04	xx yy kga030.w05	xx yy kga030.w06	xx yy kga030.w07	xx yy kga030.w08	xx yy kga030.w09
27 35 +2.476e-03	33 35 +1.100e-18	30 33 +1.100e-18	35 33 +1.100e-18	36 34 +1.100e-18	28 34 +3.498e-04	31 35 +1.090e-04	30 34 +1.100e-18	34 34 +1.100e-18
29 35 +1.100e-18	32 35 +1.100e-18	31 33 +1.100e-18	36 33 +1.100e-18	35 34 +3.968e-05	30 34 +9.460e-04	30 35 +1.100e-18	31 34 +1.100e-18	33 34 +1.100e-18
30 35 +1.100e-18	31 35 +1.100e-18	32 33 +1.100e-18	36 34 +1.100e-18	34 34 +1.100e-18	31 34 +1.100e-18	28 35 +4.880e-04	32 34 +1.100e-18	32 34 +1.100e-18
31 35 +1.100e-18	30 35 +1.100e-18	33 33 +1.100e-18	34 34 +1.886e-03	33 34 +3.304e-05	32 34 +3.118e-05	27 35 +1.100e-18	34 34 +2.894e-03	31 34 +1.100e-18
32 35 +1.100e-18	27 35 +1.100e-18	34 33 +1.100e-18	33 34 +1.100e-18	32 34 +1.100e-18	33 34 +1.100e-18	29 36 +6.760e-05	35 34 +1.100e-18	30 34 +2.018e-02
34 35 +1.676e-05	26 35 +2.984e-04	35 33 +1.100e-18	29 34 +1.100e-18	31 34 +1.100e-18	34 34 +1.100e-18	30 36 +1.100e-18	37 34 +1.100e-18	29 34 +1.100e-18
35 35 +1.100e-18	25 35 +1.100e-18	36 33 +1.100e-18	27 34 +1.100e-18	29 34 +9.620e-04	35 34 +3.926e-05	31 36 +1.100e-18	34 35 +5.288e-03	28 34 +1.100e-18
37 35 +1.746e-03	26 36 +1.100e-18	37 34 +1.100e-18	26 34 +1.100e-18	28 34 +4.420e-04	36 34 +1.100e-18	33 36 +8.940e-04	31 35 +1.100e-18	26 34 +1.100e-18
37 36 +1.100e-18	29 36 +1.100e-18	36 34 +1.100e-18	26 35 +1.100e-18	27 34 +1.100e-18	37 34 +2.348e-02	34 36 +5.380e-05	30 35 +1.100e-18	25 35 +1.100e-18
36 36 +1.100e-18	30 36 +9.680e-05	32 34 +1.100e-18	28 35 +1.100e-18	27 35 +1.100e-18	37 35 +1.100e-18	35 36 +1.100e-18	27 35 +8.360e-04	27 35 +1.828e-02
35 36 +1.100e-18	31 36 +1.100e-18	31 34 +1.100e-18	29 35 +1.100e-18	28 35 +1.100e-18	36 35 +1.100e-18	37 36 +1.270e-03	24 36 +1.100e-18	29 35 +1.840e-03
32 36 +3.728e-04	32 36 +6.520e-04	30 34 +5.500e-05	30 35 +1.100e-18	30 35 +1.100e-18	35 35 +1.100e-18	37 37 +1.100e-18	28 36 +1.100e-18	30 35 +1.100e-18
31 36 +1.100e-18	34 36 +1.100e-18	28 34 +1.100e-18	31 35 +1.100e-18	34 35 +1.100e-18	34 35 +1.100e-18	34 37 +6.340e-05	34 36 +1.100e-18	31 35 +2.192e-03
30 36 +1.100e-18	36 36 +1.100e-18	27 34 +1.100e-18	32 35 +1.100e-18	36 35 +1.408e-03	33 35 +1.786e-03	33 37 +1.100e-18	38 37 +1.100e-18	32 35 +7.300e-04
29 36 +1.276e-05	37 36 +1.100e-18	26 34 +1.100e-18	33 35 +3.030e-02	37 35 +2.168e-04	31 35 +1.100e-18	32 37 +1.100e-18	33 37 +1.100e-18	33 35 +2.076e-03
27 36 +1.100e-18	37 37 +1.688e-03	25 34 +1.100e-18	34 35 +1.100e-18	37 36 +1.100e-18	30 35 +2.910e-03	31 37 +1.100e-18	32 37 +1.100e-18	34 35 +2.976e-05
26 36 +1.100e-18	36 37 +1.100e-18	26 35 +1.100e-18	35 35 +1.100e-18	36 36 +1.100e-18	29 35 +1.100e-18	28 37 +1.100e-18	31 37 +1.100e-18	35 35 +1.100e-18
26 37 +1.100e-18	35 37 +1.100e-18	27 35 +1.100e-18	36 35 +1.100e-18	35 36 +1.100e-18	28 35 +2.642e-05	27 37 +1.100e-18	30 37 +1.100e-18	36 35 +1.100e-18
27 37 +9.820e-04	34 37 +1.100e-18	28 35 +1.100e-18	37 35 +1.100e-18	34 36 +1.100e-18	27 35 +2.160e-04	28 38 +1.100e-18	27 37 +1.100e-18	35 36 +1.100e-18
28 37 +1.100e-18	30 37 +1.100e-18	29 35 +1.100e-18	35 36 +1.100e-18	33 36 +4.520e-05	26 35 +1.514e-02	29 38 +9.900e-03	25 37 +1.100e-18	34 36 +1.100e-18
29 37 +1.100e-18	29 37 +2.680e-03	30 35 +1.100e-18	34 36 +1.100e-18	31 36 +1.100e-18	25 36 +1.100e-18	30 38 +7.740e-05	24 37 +1.100e-18	31 36 +1.100e-18
30 37 +1.222e-02	28 37 +1.100e-18	31 35 +6.368e-03	33 36 +1.100e-18	30 36 +1.100e-18	26 36 +1.100e-18	31 38 +1.100e-18	24 38 +1.100e-18	30 36 +1.100e-18
33 37 +1.100e-18	27 37 +3.610e-05	32 35 +1.100e-18	32 36 +1.100e-18	29 36 +2.602e-04	29 36 +1.100e-18	34 38 +1.100e-18	25 38 +1.100e-18	29 36 +1.100e-18
34 37 +1.100e-18	26 37 +1.100e-18	33 35 +1.100e-18	31 36 +1.100e-18	27 36 +4.300e-04	30 36 +3.136e-04	36 38 +1.498e-03	27 38 +1.100e-18	28 36 +2.202e-03
37 37 +1.100e-18	25 38 +1.100e-18	34 35 +1.100e-18	30 36 +1.100e-18	26 36 +4.068e-03	31 36 +1.650e-03	37 38 +8.840e-05	29 38 +1.100e-18	27 36 +1.100e-18
37 38 +1.100e-18	26 38 +1.100e-18	36 35 +2.722e-03	28 36 +2.382e-02	26 37 +1.100e-18	32 36 +1.100e-18	36 39 +1.100e-18	30 38 +1.100e-18	25 36 +1.100e-18
34 38 +2.546e-04	27 38 +3.910e-05	34 36 +1.100e-18	27 36 +5.654e-03	27 37 +1.100e-18	34 36 +1.100e-18	35 39 +1.100e-18	31 38 +1.088e-03	25 37 +1.100e-18
33 38 +1.100e-18	29 38 +1.100e-18	33 36 +1.100e-18	26 36 +1.752e-02	29 37 +1.100e-18	36 36 +1.100e-18	34 39 +1.100e-18	32 38 +1.156e-03	26 37 +1.100e-18
31 38 +1.100e-18	30 38 +8.108e-03	32 36 +1.100e-18	25 37 +1.100e-18	30 37 +1.100e-18	37 36 +1.100e-18	33 39 +1.100e-18	36 38 +1.100e-18	28 37 +1.100e-18
30 38 +1.100e-18	31 38 +1.030e-04	30 36 +1.210e-03	26 37 +1.368e-02	31 37 +1.100e-18	37 37 +7.860e-05	31 39 +1.100e-18	37 38 +1.100e-18	29 37 +7.440e-04
29 38 +1.100e-18	32 38 +1.100e-18	28 36 +1.100e-18	29 37 +3.402e-05	32 37 +2.126e-04	36 37 +3.256e-05	30 39 +1.100e-18	37 39 +1.100e-18	31 37 +6.600e-05
27 38 +1.100e-18	35 38 +1.100e-18	27 36 +1.100e-18	30 37 +2.796e-03	33 37 +1.100e-18	35 37 +1.100e-18	31 40 +1.100e-18	36 39 +1.100e-18	32 37 +1.784e-03
26 38 +1.100e-18	35 39 +1.100e-18	25 36 +1.100e-18	34 37 +7.540e-04	34 37 +1.100e-18	34 37 +1.100e-18	32 40 +7.140e-04	34 39 +1.100e-18	33 37 +7.140e-05
25 39 +1.100e-18	34 39 +1.100e-18	25 37 +1.100e-18	36 37 +1.100e-18	35 37 +1.100e-18	33 37 +1.100e-18	34 40 +3.862e-04	31 39 +2.602e-03	34 37 +1.100e-18
26 39 +1.100e-18	33 39 +1.100e-18	26 37 +1.100e-18	37 37 +1.100e-18	37 38 +1.100e-18	32 37 +1.100e-18	36 40 +6.080e-04	30 39 +1.100e-18	37 38 +1.100e-18
28 39 +1.100e-18	32 39 +1.100e-18	27 37 +1.100e-18	36 38 +5.840e-04	36 38 +3.862e-05	31 37 +1.100e-18	36 41 +1.100e-18	29 39 +6.726e-03	35 38 +1.100e-18
29 39 +1.100e-18	31 39 +1.100e-18	28 37 +1.100e-18	34 38 +2.476e-03	34 38 +1.100e-18	30 37 +1.100e-18	35 41 +1.100e-18	27 39 +1.100e-18	34 38 +5.060e-02
30 39 +9.960e-03	30 39 +1.100e-18	30 37 +2.218e-05	33 38 +1.100e-18	32 38 +1.100e-18	27 37 +1.100e-18	34 41 +1.100e-18	25 39 +5.980e-04	33 38 +1.100e-18
31 39 +1.900e-03	29 39 +1.100e-18	31 37 +1.100e-18	32 38 +1.100e-18	31 38 +1.100e-18	26 37 +1.100e-18	33 41 +1.100e-18	26 40 +1.100e-18	31 38 +1.100e-18
32 39 +1.100e-18	28 39 +1.100e-18	32 37 +1.100e-18	30 38 +1.100e-18	30 38 +1.100e-18	25 37 +1.100e-18	32 41 +1.100e-18	31 40 +1.100e-18	30 38 +1.646e-02
33 39 +1.100e-18	27 39 +1.100e-18	33 37 +2.720e-03	29 38 +1.100e-18	29 38 +1.100e-18	25 38 +2.164e-02	31 41 +1.100e-18	37 41 +1.100e-18	27 38 +1.100e-18
34 39 +1.100e-18	26 40 +1.100e-18	35 37 +1.100e-18	28 38 +1.100e-18	27 38 +1.100e-18	26 38 +1.100e-18	27 41 +1.100e-18	36 41 +1.100e-18	26 38 +1.100e-18
36 40 +1.100e-18	27 40 +1.100e-18	36 37 +4.840e-05	26 39 +1.100e-18	26 38 +1.100e-18	27 38 +1.100e-18	25 41 +2.192e-03	25 41 +9.780e-04	25 38 +1.100e-18
34 40 +1.626e-02	28 40 +1.100e-18	38 37 +1.100e-18	28 39 +1.100e-18	25 38 +1.100e-18	29 38 +3.158e-04	28 42 +1.000e-03	33 42 +1.100e-18	25 39 +2.172e-03
32 40 +1.100e-18	29 40 +1.100e-18	35 38 +3.900e-03	30 39 +7.840e-04	26 39 +5.982e-02	30 38 +1.100e-18	32 42 +1.100e-18	28 43 +1.100e-18	26 39 +1.100e-18
31 40 +1.100e-18	30 40 +1.100e-18	34 38 +1.100e-18	31 39 +1.100e-18	30 39 +1.100e-18	31 38 +1.100e-18	35 42 +1.100e-18	31 30 +1.000e-18	27 39 +7.984e-03
29 40 +1.100e-18	31 40 +1.100e-18	32 38 +1.100e-18	33 39 +9.720e-04	31 39 +1.100e-18	32 38 +1.100e-18	29 43 +1.100e-18	32 30 +1.000e-18	28 39 +1.100e-18
27 40 +1.100e-18	33 40 +2.832e-03	30 38 +3.330e-02	34 39 +1.100e-18	33 39 +4.680e-05	34 38 +1.100e-18	28 43 +1.100e-18	28 31 +1.000e-18	29 39 +2.488e-01
26 40 +1.100e-18	34 40 +1.100e-18	29 38 +1.100e-18	36 39 +1.100e-18	34 39 +1.076e-02	35 38 +1.100e-18	31 30 +1.000e-18	29 31 +1.000e-18	30 39 +1.100e-18
25 40 +8.840e-05	36 40 +1.546e-03	28 38 +1.830e-02	36 40 +1.100e-18	37 39 +1.100e-18	36 38 +1.100e-18	32 30 +1.000e-18	30 31 +1.000e-18	31 39 +2.894e-05
26 41 +1.100e-18	35 41 +1.100e-18	27 38 +1.100e-18	33 40 +2.152e-05	37 40 +3.810e-03	36 39 +1.100e-18	28 31 +1.000e-18	31 31 +1.000e-18	32 39 +1.100e-18
28 41 +1.100e-18	32 41 +1.100e-18	26 38 +1.846e-05	32 40 +1.100e-18	36 40 +1.100e-18	34 39 +1.100e-18	29 31 +1.000e-18	32 31 +1.000e-18	33 39 +1.100e-18
29 41 +6.760e-04	31 41 +3.210e-05	25 38 +1.100e-18	31 40 +1.992e-03	34 40 +1.100e-18	33 39 +1.126e-03	30 31 +1.000e-18	33 31 +1.000e-18	33 40 +1.100e-18
30 41 +1.100e-18	28 41 +6.560e-04	24 38 +1.100e-18	30 40 +4.120e-04	33 40 +2.234e-02	32 39 +1.944e-02	31 31 +1.000e-18	34 31 +1.000e-18	32 40 +1.100e-18
32 41 +5.920e-04	28 42 +1.100e-18	25 39 +5.440e-04	25 41 +1.100e-18	32 40 +1.112e-03	30 39 +1.100e-18	32 31 +1.000e-18	35 31 +1.000e-18	30 40 +1.100e-18
33 41 +1.100e-18	29 42 +2.644e-02	26 39 +1.100e-18	26 41 +1.930e-02	31 40 +1.100e-18	29 39 +1.100e-18	33 31 +1.000e-18	26 32 +1.000e-18	26 40 +1.100e-18
34 41 +1.100e-18	30 42 +1.100e-18	27 39 +1.100e-18	27 41 +1.100e-18	28 40 +1.100e-18	25 39 +1.100e-18	34 31 +1.000e-18	28 32 +1.000e-18	25 40 +7.340e-04
36 41 +1.100e-18	33 42 +1.100e-18	29 39 +1.100e-18	28 41 +1.366e-03	26 40 +1.100e-18	27 40 +1.100e-18	35 31 +1.000e-18	31 32 +1.000e-18	26 41 +1.100e-18
35 42 +1.100e-18	31 30 +1.000e-18	30 39 +1.100e-18	31 41 +1.100e-18	27 41 +1.100e-18	28 40 +1.100e-18	26 32 +1.000e-18	32 32 +1.000e-18	31 41 +1.100e-18
34 42 +1.100e-18	32 30 +1.000e-18	33 39 +1.452e-03	33 41 +5.660e-05	28 41 +1.100e-18	31 40 +1.100e-18	27 32 +1.000e-18	36 32 +1.000e-18	35 41 +1.236e-02
31 42 +1.100e-18	28 31 +1.000e-18	36 39 +2.736e-04	35 41 +1.100e-18	30 41 +1.100e-18	32 40 +1.100e-18	28 32 +1.000e-18	27 33 +1.000e-18	34 42 +1.100e-18
30 42 +1.100e-18	29 31 +1.000e-18	33 40 +1.100e-18	36 41 +1.100e-18	31 41 +1.100e-18	32 41 +3.460e-04	29 32 +1.000e-18	33 33 +1.000e-18	32 42 +1.100e-18
29 42 +5.240e-03	30 31 +1.000e-18	32 40 +1.100e-18	34 42 +3.472e-04	32 41 +1.100e-18	30 41 +1.904e-04	30 32 +1.000e-18	36 33 +1.000e-18	31 30 +1.000e-18
27 42 +1.972e-03	31 31 +1.000e-18	28 40 +1.100e-18	33 42 +1.100e-18	35 42 +1.100e-18	29 41 +1.100e-18	31 32 +1.000e-18	37 33 +1.000e-18	32 30 +1.000e-18
31 43 +1.100e-18	32 31 +1.000e-18	27 40 +1.100e-18	32 42 +1.100e-18	34 42 +6.600e-04	27 41 +1.100e-18	32 32 +1.000e-18	25 34 +1.000e-18	28 31 +1.000e-18
31 30 +1.000e-18	33 31 +1.000e-18	26 40 +1.100e-18	26 42 +1.100e-18	32 42 +1.100e-18	28 42 +1.100e-18	36 32 +1.000e-18	26 34 +1.000e-18	29 31 +1.000e-18
32 30 +1.000e-18	34 31 +1.000e-18	25 40 +1.100e-18	33 43 +1.100e-18	30 42 +5.740e-05	29 42 +1.100e-18	25 33 +1.000e-18	27 34 +1.000e-18	32 31 +1.000e-18
28 31 +1.000e-18	35 31 +1.000e-18	26 41 +1.100e-18	31 30 +1.000e-18	29 42 +3.782e-03	31 42 +1.100e-18	26 33 +1.000e-18	33 34 +1.000e-18	34 31 +1.000e-18
29 31 +1.000e-18	26 32 +1.000e-18	27 41 +1.100e-18	32 30 +1.000e-18	28 42 +1.410e-04	32 42 +1.100e-18	27 33 +1.000e-18	36 34 +1.000e-18	35 31 +1.000e-18
30 31 +1.000e-18	27 32 +1.000e-18	29 41 +1.100e-18	28 31 +1.000e-18	27 42 +1.100e-18	33 42 +1.100e-18	28 33 +1.000e-18	38 34 +1.000e-18	26 32 +1.000e-18
33 31 +1.000e-18	32 32 +1.000e-18	31 41 +1.100e-18	34 31 +1.000e-18	31 30 +1.000e-18	34 42 +1.100e-18	29 33 +1.000e-18	24 35 +1.000e-18	30 32 +1.000e-18
34 31 +1.000e-18	34 32 +1.000e-18	32 41 +1.142e-05	35 31 +1.000e-18	32 30 +1.000e-18	35 42 +4.036e-04	32 33 +1.000e-18	25 35 +1.000e-18	33 32 +1.000e-18
35 31 +1.000e-18	35 32 +1.000e-18	35 41 +1.100e-18	26 32 +1.000e-18	28 31 +1.000e-18	29 43 +1.100e-18	33 33 +1.000e-18	26 35 +1.000e-18	35 32 +1.000e-18
26 32 +1.000e-18	36 32 +1.000e-18	36 41 +1.100e-18	27 32 +1.000e-18	29 31 +1.000e-18	31 30 +1.000e-18	37 33 +1.000e-18	28 35 +1.000e-18	36 32 +1.000e-18
29 32 +1.000e-18	25 33 +1.000e-18	33 42 +1.100e-18	32 32 +1.000e-18	31 31 +1.000e-18	32 30 +1.000e-18	25 34 +1.000e-18	29 35 +1.000e-18	25 33 +1.000e-18
30 32 +1.000e-18	26 33 +1.000e-18	32 42 +1.100e-18	36 32 +1.000e-18	32 31 +1.000e-18	28 31 +1.000e-18	26 34 +1.000e-18	32 35 +1.000e-18	27 33 +1.000e-18
31 32 +1.000e-18	27 33 +1.000e-18	31 42 +1.100e-18	25 33 +1.000e-18	33 31 +1.000e-18	29 31 +1.000e-18	27 34 +1.000e-18	33 35 +1.000e-18	29 33 +1.000e-18
33 32 +1.000e-18	28 33 +1.000e-18	29 42 +1.100e-18	29 33 +1.000e-18	34 31 +1.000e-18	30 31 +1.000e-18	29 34 +1.000e-18	35 35 +1.000e-18	31 33 +1.000e-18
34 32 +1.000e-18	29 33 +1.000e-18	28 42 +1.100e-18	30 33 +1.000e-18	35 31 +1.000e-18	31 31 +1.000e-18	31 34 +1.000e-18	36 35 +1.000e-18	32 33 +1.000e-18
36 32 +1.000e-18	30 33 +1.000e-18	27 42 +1.100e-18	32 33 +1.000e-18	26 32 +1.000e-18	32 31 +1.000e-18	33 34 +1.000e-18	37 35 +1.000e-18	36 33 +1.000e-18
25 33 +1.000e-18	36 33 +1.000e-18	30 43 +1.100e-18	33 33 +1.000e-18	27 32 +1.000e-18	33 31 +1.000e-18	36 34 +1.000e-18	38 35 +1.000e-18	37 33 +1.000e-18
29 33 +1.000e-18	37 33 +1.000e-18	33 43 +1.100e-18	37 33 +1.000e-18	36 32 +1.000e-18	34 31 +1.000e-18	37 34 +1.000e-18	25 36 +1.000e-18	25 34 +1.000e-18
30 33 +1.000e-18	25 34 +1.000e-18	34 43 +1.100e-18	25 34 +1.000e-18	25 33 +1.000e-18	35 31 +1.000e-18	38 34 +1.000e-18	26 36 +1.000e-18	27 34 +1.000e-18
32 33 +1.000e-18	26 34 +1.000e-18	31 30 +1.000e-18	28 34 +1.000e-18	26 33 +1.000e-18	26 32 +1.000e-18	24 35 +1.000e-18	27 36 +1.000e-18	35 34 +1.000e-18
33 33 +1.000e-18	27 34 +1.000e-18	32 30 +1.000e-18	30 34 +1.000e-18	28 33 +1.000e-18	31 32 +1.000e-18	25 35 +1.000e-18	29 36 +1.000e-18	38 34 +1.000e-18
35 33 +1.000e-18	28 34 +1.000e-18	30 31 +1.000e-18	31 34 +1.000e-18	32 33 +1.000e-18	32 32 +1.000e-18	26 35 +1.000e-18	30 36 +1.000e-18	24 35 +1.000e-18
37 33 +1.000e-18	29 34 +1.000e-18	33 31 +1.000e-18	32 34 +1.000e-18	37 33 +1.000e-18	35 32 +1.000e-18	29 35 +1.000e-18	31 36 +1.000e-18	26 35 +1.000e-18
25 34 +1.000e-18	30 34 +1.000e-18	35 31 +1.000e-18	35 34 +1.000e-18	25 34 +1.000e-18	36 32 +1.000e-18	33 35 +1.000e-18	32 36 +1.000e-18	28 35 +1.000e-18
26 34 +1.000e-18	32 34 +1.000e-18	26 32 +1.000e-18	37 34 +1.000e-18	26 34 +1.000e-18	25 33 +1.000e-18	36 35 +1.000e-18	33 36 +1.000e-18	37 35 +1.000e-18
27 34 +1.000e-18	36 34 +1.000e-18	36 32 +1.000e-18	38 34 +1.000e-18	30 34 +1.000e-18	27 33 +1.000e-18	38 35 +1.000e-18	35 36 +1.000e-18	38 35 +1.000e-18
28 34 +1.000e-18	37 34 +1.000e-18	25 33 +1.000e-18	24 35 +1.000e-18	37 34 +1.000e-18	28 33 +1.000e-18	24 36 +1.000e-18	36 36 +1.000e-18	24 36 +1.000e-18
29 34 +1.000e-18	38 34 +1.000e-18	26 33 +1.000e-18	25 35 +1.000e-18	38 34 +1.000e-18	30 33 +1.000e-18	25 36 +1.000e-18	37 36 +1.000e-18	26 36 +1.000e-18
30 34 +1.000e-18	24 35 +1.000e-18	37 33 +1.000e-18	27 35 +1.000e-18	24 35 +1.000e-18	37 33 +1.000e-18	26 36 +1.000e-18	38 36 +1.000e-18	32 36 +1.000e-18
31 34 +1.000e-18	28 35 +1.000e-18	29 34 +1.000e-18	38 35 +1.000e-18	25 35 +1.000e-18	29 34 +1.000e-18	27 36 +1.000e-18	26 37 +1.000e-18	33 36 +1.000e-18
32 34 +1.000e-18	29 35 +1.000e-18	33 34 +1.000e-18	24 36 +1.000e-18	26 35 +1.000e-18	38 34 +1.000e-18	28 36 +1.000e-18	28 37 +1.000e-18	36 36 +1.000e-18
33 34 +1.000e-18	37 35 +1.000e-18	34 34 +1.000e-18	25 36 +1.000e-18	29 35 +1.000e-18	24 35 +1.000e-18	32 36 +1.000e-18	29 37 +1.000e-18	37 36 +1.000e-18
34 34 +1.000e-18	38 35 +1.000e-18	35 34 +1.000e-18	29 36 +1.000e-18	31 35 +1.000e-18	25 35 +1.000e-18	36 36 +1.000e-18	34 37 +1.000e-18	38 36 +1.000e-18
38 34 +1.000e-18	24 36 +1.000e-18	38 34 +1.000e-18	36 36 +1.000e-18	32 35 +1.000e-18	32 35 +1.000e-18	38 36 +1.000e-18	35 37 +1.000e-18	24 37 +1.000e-18
24 35 +1.000e-18	25 36 +1.000e-18	24 35 +1.000e-18	37 36 +1.000e-18	33 35 +1.000e-18	38 35 +1.000e-18	24 37 +1.000e-18	36 37 +1.000e-18	27 37 +1.000e-18
28 35 +1.000e-18	27 36 +1.000e-18	25 35 +1.000e-18	38 36 +1.000e-18	35 35 +1.000e-18	24 36 +1.000e-18	25 37 +1.000e-18	37 37 +1.000e-18	30 37 +1.000e-18
33 35 +1.000e-18	28 36 +1.000e-18	35 35 +1.000e-18	24 37 +1.000e-18	38 35 +1.000e-18	27 36 +1.000e-18	26 37 +1.000e-18	39 37 +1.000e-18	35 37 +1.000e-18
36 35 +1.000e-18	33 36 +1.000e-18	37 35 +1.000e-18	27 37 +1.000e-18	24 36 +1.000e-18	28 36 +1.000e-18	29 37 +1.000e-18	26 38 +1.000e-18	36 37 +1.000e-18
38 35 +1.000e-18	35 36 +1.000e-18	38 35 +1.000e-18	28 37 +1.000e-18	25 36 +1.000e-18	33 36 +1.000e-18	30 37 +1.000e-18	28 38 +1.000e-18	37 37 +1.000e-18
24 36 +1.000e-18	38 36 +1.000e-18	24 36 +1.000e-18	31 37 +1.000e-18	28 36 +1.000e-18	35 36 +1.000e-18	35 37 +1.000e-18	33 38 +1.000e-18	38 37 +1.000e-18
25 36 +1.000e-18	24 37 +1.000e-18	26 36 +1.000e-18	32 37 +1.000e-18	32 36 +1.000e-18	38 36 +1.000e-18	36 37 +1.000e-18	34 38 +1.000e-18	39 37 +1.000e-18
28 36 +1.000e-18	25 37 +1.000e-18	29 36 +1.000e-18	33 37 +1.000e-18	38 36 +1.000e-18	24 37 +1.000e-18	38 37 +1.000e-18	35 38 +1.000e-18	24 38 +1.000e-18
33 36 +1.000e-18	31 37 +1.000e-18	31 36 +1.000e-18	35 37 +1.000e-18	24 37 +1.000e-18	28 37 +1.000e-18	39 37 +1.000e-18	38 38 +1.000e-18	28 38 +1.000e-18
34 36 +1.000e-18	32 37 +1.000e-18	35 36 +1.000e-18	38 37 +1.000e-18	25 37 +1.000e-18	29 37 +1.000e-18	24 38 +1.000e-18	24 39 +1.000e-18	29 38 +1.000e-18
38 36 +1.000e-18	33 37 +1.000e-18	36 36 +1.000e-18	39 37 +1.000e-18	28 37 +1.000e-18	38 37 +1.000e-18	25 38 +1.000e-18	26 39 +1.000e-18	32 38 +1.000e-18
