xx yy kga030.w10	xx yy kga030.w11	xx yy kga030.w12	xx yy kga030.w13	xx yy kga030.w14	xx yy kga030.w15	xx yy kga030.w16	xx yy kga030.w17	xx yy kga030.w18	xx yy kga030.w19
30 37 +1.100e-18	24 36 +9.700e-04	31 36 +1.100e-18	37 36 +1.100e-18	35 35 +1.100e-18	30 36 +1.100e-18	25 37 +3.002e-04	36 35 +1.100e-18	27 36 +1.100e-18	34 36 +1.100e-18
32 37 +1.100e-18	24 37 +1.100e-18	30 36 +1.100e-18	36 36 +1.100e-18	37 35 +2.138e-04	29 36 +1.100e-18	26 37 +1.100e-18	37 35 +1.100e-18	26 36 +1.100e-18	33 36 +1.100e-18
33 37 +3.554e-03	25 37 +2.460e-04	29 36 +1.100e-18	35 36 +1.100e-18	38 36 +1.078e-03	28 36 +1.100e-18	29 37 +1.100e-18	37 36 +1.100e-18	25 36 +3.280e-04	32 36 +1.100e-18
34 37 +1.100e-18	26 37 +1.100e-18	28 36 +1.100e-18	34 36 +1.100e-18	37 36 +1.100e-18	27 36 +1.100e-18	30 37 +1.100e-18	36 36 +1.100e-18	26 37 +1.100e-18	30 36 +1.100e-18
35 37 +1.100e-18	27 37 +1.100e-18	27 36 +1.100e-18	33 36 +1.100e-18	36 36 +1.100e-18	26 36 +1.100e-18	35 37 +1.100e-18	34 36 +1.100e-18	27 37 +1.100e-18	29 36 +1.100e-18
37 37 +1.100e-18	28 37 +2.080e-04	25 37 +1.100e-18	32 36 +3.464e-04	35 36 +1.100e-18	26 37 +1.100e-18	36 37 +1.100e-18	33 36 +1.100e-18	31 37 +1.100e-18	28 36 +1.100e-18
38 38 +2.306e-04	29 37 +1.100e-18	26 37 +1.100e-18	30 36 +1.100e-18	34 36 +6.704e-03	28 37 +1.100e-18	37 38 +1.100e-18	32 36 +1.100e-18	34 37 +1.100e-18	27 36 +1.100e-18
36 38 +1.100e-18	30 37 +1.100e-18	27 37 +1.100e-18	29 36 +1.100e-18	33 36 +1.100e-18	29 37 +1.100e-18	36 38 +1.100e-18	31 36 +1.100e-18	35 37 +1.100e-18	26 36 +1.100e-18
34 38 +1.100e-18	31 37 +1.100e-18	29 37 +1.100e-18	28 36 +1.100e-18	32 36 +1.100e-18	31 37 +4.740e-04	35 38 +1.100e-18	30 36 +1.100e-18	36 37 +1.100e-18	25 36 +3.258e-04
32 38 +1.100e-18	32 37 +1.100e-18	30 37 +1.100e-18	27 36 +1.100e-18	31 36 +1.100e-18	32 37 +1.740e-04	33 38 +1.100e-18	29 36 +1.100e-18	37 37 +1.100e-18	26 37 +1.100e-18
30 38 +1.100e-18	33 37 +1.100e-18	31 37 +1.100e-18	25 36 +1.100e-18	30 36 +1.100e-18	35 37 +1.100e-18	32 38 +1.100e-18	28 36 +1.100e-18	34 38 +1.100e-18	27 37 +1.100e-18
29 38 +1.100e-18	34 37 +1.100e-18	32 37 +1.100e-18	26 37 +1.100e-18	29 36 +1.100e-18	36 37 +1.100e-18	29 38 +1.100e-18	27 36 +1.100e-18	33 38 +1.100e-18	28 37 +1.100e-18
28 38 +1.100e-18	37 37 +1.100e-18	33 37 +1.100e-18	27 37 +1.746e-04	28 36 +1.100e-18	37 37 +1.512e-04	28 38 +1.100e-18	26 36 +1.100e-18	32 38 +1.100e-18	29 37 +3.626e-03
27 38 +1.100e-18	33 38 +1.100e-18	34 37 +1.100e-18	28 37 +1.100e-18	27 36 +1.100e-18	38 37 +1.402e-03	26 38 +1.100e-18	25 36 +1.100e-18	31 38 +1.100e-18	30 37 +1.100e-18
26 38 +1.100e-18	30 38 +1.100e-18	35 37 +1.100e-18	29 37 +1.100e-18	25 36 +4.080e-04	37 38 +1.100e-18	26 39 +1.100e-18	24 36 +7.180e-04	30 38 +1.774e-04	31 37 +1.100e-18
25 38 +3.198e-04	29 38 +1.100e-18	36 37 +1.100e-18	31 37 +1.100e-18	25 37 +1.100e-18	36 38 +1.100e-18	29 39 +1.100e-18	25 37 +1.100e-18	25 39 +1.100e-18	32 37 +1.100e-18
24 38 +1.100e-18	28 38 +1.100e-18	37 37 +1.100e-18	32 37 +1.100e-18	26 37 +1.100e-18	35 38 +1.100e-18	30 39 +1.100e-18	26 37 +1.100e-18	27 39 +1.100e-18	33 37 +1.100e-18
24 39 +1.100e-18	27 38 +1.100e-18	37 38 +1.100e-18	33 37 +1.100e-18	27 37 +1.100e-18	33 38 +1.100e-18	31 39 +1.100e-18	27 37 +1.618e-03	28 39 +1.100e-18	34 37 +1.100e-18
26 39 +1.100e-18	26 38 +1.100e-18	36 38 +1.100e-18	34 37 +1.100e-18	29 37 +1.100e-18	32 38 +1.100e-18	33 39 +1.100e-18	28 37 +1.100e-18	30 39 +1.100e-18	35 37 +1.100e-18
27 39 +1.100e-18	25 38 +1.100e-18	35 38 +1.100e-18	36 37 +1.100e-18	31 37 +1.100e-18	29 38 +1.100e-18	34 39 +1.100e-18	29 37 +1.100e-18	31 39 +1.100e-18	36 37 +1.100e-18
29 39 +1.100e-18	24 39 +1.100e-18	34 38 +1.100e-18	37 37 +1.100e-18	32 37 +1.100e-18	28 38 +1.100e-18	35 39 +1.100e-18	30 37 +1.100e-18	32 39 +1.100e-18	37 37 +1.100e-18
30 39 +1.100e-18	26 39 +1.100e-18	33 38 +1.100e-18	38 37 +1.100e-18	33 37 +1.100e-18	26 38 +1.100e-18	36 39 +1.100e-18	31 37 +1.100e-18	33 39 +2.994e-04	38 37 +1.100e-18
34 39 +6.500e-04	27 39 +1.100e-18	32 38 +1.100e-18	38 38 +8.440e-04	34 37 +1.100e-18	25 38 +1.552e-04	37 39 +1.100e-18	32 37 +1.100e-18	34 39 +1.100e-18	38 38 +6.540e-04
36 39 +1.100e-18	29 39 +1.100e-18	31 38 +1.100e-18	37 38 +1.290e-03	35 37 +1.100e-18	26 39 +1.100e-18	36 40 +1.100e-18	34 37 +1.100e-18	35 39 +1.100e-18	37 38 +1.100e-18
37 39 +1.100e-18	30 39 +1.100e-18	30 38 +1.100e-18	36 38 +1.100e-18	36 37 +1.100e-18	27 39 +1.100e-18	33 40 +1.100e-18	37 37 +1.100e-18	36 39 +5.138e-03	36 38 +1.502e-03
33 40 +1.100e-18	32 39 +1.100e-18	29 38 +1.100e-18	35 38 +1.100e-18	37 37 +1.100e-18	28 39 +1.100e-18	32 40 +1.100e-18	34 38 +1.100e-18	37 39 +1.100e-18	35 38 +1.100e-18
32 40 +1.100e-18	33 39 +1.100e-18	28 38 +1.100e-18	34 38 +1.100e-18	37 38 +1.100e-18	29 39 +1.100e-18	30 40 +1.100e-18	33 38 +1.100e-18	37 40 +1.100e-18	33 38 +1.100e-18
31 40 +1.100e-18	34 39 +1.100e-18	27 38 +1.100e-18	33 38 +1.100e-18	35 38 +1.100e-18	30 39 +1.100e-18	29 40 +1.100e-18	32 38 +1.100e-18	36 40 +1.100e-18	32 38 +1.100e-18
30 40 +1.100e-18	35 39 +1.100e-18	26 38 +1.100e-18	32 38 +1.100e-18	34 38 +1.100e-18	31 39 +1.100e-18	27 40 +1.100e-18	31 38 +1.100e-18	35 40 +7.308e-03	31 38 +1.100e-18
28 40 +1.100e-18	36 40 +1.100e-18	24 39 +1.100e-18	31 38 +1.100e-18	32 38 +1.084e-03	33 39 +1.100e-18	26 40 +1.100e-18	30 38 +1.100e-18	34 40 +1.100e-18	30 38 +1.100e-18
27 40 +1.100e-18	35 40 +1.100e-18	25 39 +2.574e-04	29 38 +1.100e-18	31 38 +1.100e-18	34 39 +1.100e-18	25 40 +1.100e-18	29 38 +1.100e-18	32 40 +1.100e-18	28 38 +2.988e-04
26 40 +1.100e-18	33 40 +1.100e-18	26 39 +1.100e-18	28 38 +1.100e-18	30 38 +1.100e-18	37 39 +1.498e-04	26 41 +1.100e-18	28 38 +1.100e-18	31 40 +1.100e-18	27 38 +1.100e-18
25 40 +1.100e-18	31 40 +1.100e-18	28 39 +1.100e-18	27 38 +1.100e-18	29 38 +1.100e-18	37 40 +1.928e-04	27 41 +1.100e-18	27 38 +1.100e-18	30 40 +1.100e-18	25 39 +1.100e-18
26 41 +1.100e-18	30 40 +1.100e-18	29 39 +5.320e-04	26 38 +1.100e-18	28 38 +1.100e-18	36 40 +1.100e-18	30 41 +1.100e-18	26 38 +1.100e-18	29 40 +1.100e-18	28 39 +1.100e-18
27 41 +1.100e-18	28 40 +1.100e-18	30 39 +1.100e-18	25 38 +1.100e-18	27 38 +1.100e-18	34 40 +1.100e-18	31 41 +1.100e-18	25 38 +1.100e-18	28 40 +1.100e-18	29 39 +1.100e-18
30 41 +1.100e-18	27 40 +1.100e-18	31 39 +1.100e-18	26 39 +1.100e-18	26 38 +1.100e-18	33 40 +1.100e-18	33 41 +1.100e-18	24 39 +1.100e-18	27 40 +1.100e-18	30 39 +1.100e-18
32 41 +1.100e-18	27 41 +3.344e-04	32 39 +1.100e-18	27 39 +1.100e-18	25 38 +1.100e-18	31 40 +1.100e-18	34 41 +1.100e-18	25 39 +1.100e-18	26 40 +2.288e-04	31 39 +1.100e-18
33 41 +1.100e-18	30 41 +1.100e-18	34 39 +4.680e-04	29 39 +1.100e-18	24 38 +1.100e-18	30 40 +1.100e-18	35 41 +1.100e-18	26 39 +1.100e-18	26 41 +1.286e-03	32 39 +1.100e-18
36 41 +1.100e-18	31 41 +1.100e-18	35 39 +1.100e-18	30 39 +1.100e-18	24 39 +1.100e-18	29 40 +1.100e-18	34 42 +1.100e-18	27 39 +1.100e-18	28 41 +1.100e-18	33 39 +1.100e-18
33 42 +1.100e-18	33 41 +1.100e-18	36 39 +2.978e-04	33 39 +1.100e-18	25 39 +1.100e-18	27 40 +1.100e-18	33 42 +1.100e-18	28 39 +1.100e-18	29 41 +1.100e-18	34 39 +1.100e-18
32 42 +1.100e-18	35 41 +1.100e-18	37 39 +1.100e-18	34 39 +1.100e-18	26 39 +1.100e-18	26 40 +2.220e-04	32 42 +1.100e-18	29 39 +1.100e-18	30 41 +1.100e-18	35 39 +1.100e-18
26 42 +1.100e-18	36 41 +1.100e-18	37 40 +1.532e-04	35 39 +1.100e-18	27 39 +1.100e-18	27 41 +2.496e-04	31 42 +1.100e-18	30 39 +1.100e-18	31 41 +1.100e-18	36 39 +1.100e-18
31 30 +1.000e-18	35 42 +4.066e-04	36 40 +1.100e-18	35 40 +1.100e-18	28 39 +1.100e-18	28 41 +1.100e-18	30 42 +1.100e-18	31 39 +1.100e-18	32 41 +1.100e-18	37 40 +8.620e-04
32 30 +1.000e-18	34 42 +1.100e-18	35 40 +1.100e-18	34 40 +1.100e-18	29 39 +1.100e-18	29 41 +1.100e-18	28 42 +1.100e-18	33 39 +1.100e-18	35 41 +1.100e-18	36 40 +1.100e-18
28 31 +1.000e-18	33 42 +1.100e-18	34 40 +1.100e-18	33 40 +1.100e-18	30 39 +1.100e-18	30 41 +1.100e-18	30 43 +1.100e-18	34 39 +1.100e-18	36 41 +1.100e-18	35 40 +1.100e-18
29 31 +1.000e-18	31 42 +1.100e-18	33 40 +3.852e-04	32 40 +1.100e-18	31 39 +1.100e-18	31 41 +1.100e-18	32 43 +1.100e-18	37 39 +1.100e-18	35 42 +1.100e-18	33 40 +1.100e-18
32 31 +1.000e-18	29 42 +1.100e-18	32 40 +5.700e-04	31 40 +1.100e-18	32 39 +1.100e-18	32 41 +1.100e-18	34 43 +1.100e-18	36 40 +1.100e-18	34 42 +1.100e-18	32 40 +1.100e-18
33 31 +1.000e-18	28 42 +1.100e-18	31 40 +1.100e-18	30 40 +1.100e-18	33 39 +1.100e-18	35 41 +1.100e-18	31 30 +1.000e-18	35 40 +1.100e-18	33 42 +1.100e-18	31 40 +1.100e-18
34 31 +1.000e-18	30 43 +1.100e-18	29 40 +1.100e-18	29 40 +1.100e-18	34 39 +1.100e-18	36 41 +1.582e-04	32 30 +1.000e-18	34 40 +1.100e-18	31 42 +1.100e-18	27 40 +2.464e-04
35 31 +1.000e-18	31 43 +1.100e-18	28 40 +1.100e-18	28 40 +1.100e-18	35 39 +1.100e-18	35 42 +6.632e-03	28 31 +1.000e-18	33 40 +1.100e-18	28 42 +2.516e-04	26 40 +1.100e-18
26 32 +1.000e-18	33 43 +1.100e-18	26 40 +3.376e-04	27 40 +1.100e-18	36 39 +1.100e-18	34 42 +1.100e-18	29 31 +1.000e-18	32 40 +1.100e-18	27 42 +1.100e-18	26 41 +4.540e-04
27 32 +1.000e-18	34 43 +1.100e-18	25 40 +1.100e-18	26 40 +1.100e-18	37 40 +5.660e-04	33 42 +1.100e-18	30 31 +1.000e-18	31 40 +1.100e-18	29 43 +1.100e-18	28 41 +1.100e-18
28 32 +1.000e-18	31 30 +1.000e-18	25 41 +1.100e-18	25 40 +1.100e-18	36 40 +1.100e-18	32 42 +1.100e-18	34 31 +1.000e-18	30 40 +1.100e-18	30 43 +2.368e-04	31 41 +1.100e-18
30 32 +1.000e-18	32 30 +1.000e-18	26 41 +1.100e-18	25 41 +1.100e-18	35 40 +1.100e-18	31 42 +1.100e-18	35 31 +1.000e-18	29 40 +1.100e-18	33 43 +1.100e-18	32 41 +1.100e-18
36 32 +1.000e-18	28 31 +1.000e-18	27 41 +2.654e-04	26 41 +1.100e-18	33 40 +1.100e-18	29 42 +1.100e-18	26 32 +1.000e-18	27 40 +1.100e-18	31 30 +1.000e-18	34 41 +1.100e-18
27 33 +1.000e-18	29 31 +1.000e-18	28 41 +1.100e-18	28 41 +1.100e-18	32 40 +1.100e-18	28 42 +2.420e-04	33 32 +1.000e-18	26 40 +1.100e-18	32 30 +1.000e-18	35 41 +1.100e-18
28 33 +1.000e-18	30 31 +1.000e-18	29 41 +1.100e-18	30 41 +1.100e-18	31 40 +1.100e-18	27 42 +6.300e-04	34 32 +1.000e-18	26 41 +3.318e-04	28 31 +1.000e-18	36 41 +1.100e-18
29 33 +1.000e-18	31 31 +1.000e-18	30 41 +1.100e-18	31 41 +1.100e-18	30 40 +1.100e-18	29 43 +3.944e-04	36 32 +1.000e-18	27 41 +1.100e-18	29 31 +1.000e-18	34 42 +1.100e-18
30 33 +1.000e-18	32 31 +1.000e-18	31 41 +1.100e-18	32 41 +1.100e-18	28 40 +1.100e-18	31 30 +1.000e-18	25 33 +1.000e-18	28 41 +1.100e-18	33 31 +1.000e-18	33 42 +1.100e-18
31 33 +1.000e-18	34 31 +1.000e-18	32 41 +1.100e-18	33 41 +1.100e-18	27 40 +1.100e-18	32 30 +1.000e-18	26 33 +1.000e-18	29 41 +1.100e-18	34 31 +1.000e-18	32 42 +1.100e-18
32 33 +1.000e-18	35 31 +1.000e-18	33 41 +1.100e-18	30 42 +1.100e-18	26 40 +1.100e-18	28 31 +1.000e-18	27 33 +1.000e-18	30 41 +1.100e-18	35 31 +1.000e-18	31 42 +1.100e-18
35 33 +1.000e-18	26 32 +1.000e-18	35 41 +1.100e-18	29 42 +1.100e-18	27 41 +1.100e-18	32 31 +1.000e-18	28 33 +1.000e-18	32 41 +1.100e-18	26 32 +1.000e-18	29 42 +1.100e-18
37 33 +1.000e-18	34 32 +1.000e-18	36 41 +1.100e-18	28 42 +1.100e-18	28 41 +3.246e-03	34 31 +1.000e-18	29 33 +1.000e-18	33 41 +1.100e-18	27 32 +1.000e-18	28 42 +1.100e-18
25 34 +1.000e-18	36 32 +1.000e-18	35 42 +1.100e-18	27 42 +1.100e-18	31 41 +1.100e-18	35 31 +1.000e-18	32 33 +1.000e-18	34 41 +1.100e-18	28 32 +1.000e-18	27 42 +1.100e-18
27 34 +1.000e-18	25 33 +1.000e-18	34 42 +1.100e-18	26 42 +1.100e-18	32 41 +1.100e-18	26 32 +1.000e-18	34 33 +1.000e-18	35 41 +1.100e-18	34 32 +1.000e-18	31 30 +1.000e-18
28 34 +1.000e-18	29 33 +1.000e-18	33 42 +1.100e-18	29 43 +1.100e-18	33 41 +1.100e-18	27 32 +1.000e-18	36 33 +1.000e-18	35 42 +1.100e-18	35 32 +1.000e-18	32 30 +1.000e-18
34 34 +1.000e-18	30 33 +1.000e-18	32 42 +1.100e-18	33 43 +1.100e-18	35 41 +1.100e-18	28 32 +1.000e-18	37 33 +1.000e-18	34 42 +1.100e-18	36 32 +1.000e-18	28 31 +1.000e-18
35 34 +1.000e-18	35 33 +1.000e-18	31 42 +1.100e-18	31 30 +1.000e-18	36 41 +1.100e-18	29 32 +1.000e-18	25 34 +1.000e-18	33 42 +1.100e-18	25 33 +1.000e-18	29 31 +1.000e-18
37 34 +1.000e-18	36 33 +1.000e-18	30 42 +1.100e-18	32 30 +1.000e-18	35 42 +1.100e-18	30 32 +1.000e-18	26 34 +1.000e-18	32 42 +1.100e-18	31 33 +1.000e-18	31 31 +1.000e-18
38 34 +1.000e-18	37 33 +1.000e-18	29 42 +1.100e-18	28 31 +1.000e-18	34 42 +1.100e-18	33 32 +1.000e-18	27 34 +1.000e-18	31 42 +1.100e-18	35 33 +1.000e-18	32 31 +1.000e-18
24 35 +1.000e-18	30 34 +1.000e-18	28 42 +2.962e-04	33 31 +1.000e-18	33 42 +1.100e-18	36 32 +1.000e-18	33 34 +1.000e-18	28 42 +1.100e-18	37 33 +1.000e-18	34 31 +1.000e-18
